end_date,ts_code,ann_date,f_ann_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
20071231,002476.SZ,20100824,20100824,1,1,90000000.0,6225980.09,31741481.58,3603053.6,,14854658.42,,9000000.0,24840542.42,5328039.06,14773177.42,,,124128780.86,,,,,,,,,,192925198.18,,,,,,,,152325700.18,5362009.99,,,,,1208247.75,,,,515608.51,,,159411566.43,,,,,,,,,,,,,,,,,352336764.61,,100000000.0,,,,,,90262428.25,11092066.67,,,1438922.79,16601566.26,226504.11,,1144761.26,,,,,,,,,,220766249.34,,,,,,,,,,,,,,,,,,,,,,,,,220766249.34,,,,,,131570515.27,131570515.27,352336764.61,,,,,,,,,,
20081231,002476.SZ,20100824,20100824,1,1,90000000.0,6225980.09,62955268.19,7071252.11,,46290757.45,,468759.1,67003243.4,2368982.23,4667286.88,,,55989372.04,,,,,,,,,,176788401.1,,,,,,,,149836837.29,32939299.65,,,,,15399085.24,,,1022508.27,1104440.01,,,200302170.46,,,,,,,,,,,,,,,,,377090571.56,,152444000.0,,,,,10000000.0,41339783.3,209508.93,,,3195558.94,2527942.16,374512.76,,746765.08,,,,,,,,,,210838071.17,,,,,,,,,,,,,,,,,,,,,,,,,210838071.17,,,,,,166252500.39,166252500.39,377090571.56,,,,,,,,,,
20091231,002476.SZ,20100824,20100824,1,1,90000000.0,6225980.09,76379102.8,11352789.29,,42446807.5,,1940000.0,80709260.23,1812401.66,6312268.16,,,33050173.57,,,,,,,,,,166270911.12,,,,,,,,200996472.69,,,,,,14421741.7,,,41666.79,1405200.43,,,216865081.61,,,,,,,,,,,,,,,,,383135992.73,40000000.0,80000000.0,,,,,,68823065.22,734236.75,,,2607387.66,5785894.23,225791.25,,1001745.44,,,,,,,,,,159178120.55,,,,,,,,40000000.0,,,,,,,,,,,,,,,,,199178120.55,,,,,,183957872.18,183957872.18,383135992.73,,,,,,,,,,
20100630,002476.SZ,20100824,20100824,1,1,90000000.0,6225980.09,77954724.96,11352789.29,,49719128.41,,,64778108.8,1976834.98,8017534.92,,,41027813.37,,,,,,,,,,165519420.48,,,,,,,,186179290.17,7882713.71,,,,,18817061.26,,,,1428888.49,,,214307953.63,,,,,,,,,,,,,,,,,379827374.11,40000000.0,75000000.0,,,,,,71725067.94,140643.86,,,2576624.52,4048232.06,139318.0,,663993.39,,,,,,,,,,154293879.77,,,,,,,,40000000.0,,,,,,,,,,,,,,,,,194293879.77,,,,,,185533494.34,185533494.34,379827374.11,,,,,,,,,,
20100930,002476.SZ,20101020,20101020,1,1,120000000.0,625517670.09,90611948.81,11352789.29,,659843909.38,,3000000.0,147034960.49,2125509.92,15543859.53,,,39867783.22,,,,,,,,,,867416022.54,,,,,,,,178709519.06,13691082.04,,,,,18452221.03,,,,1428888.49,,,212281710.62,,,,,,,,,,,,,,,,,1079697733.16,37550000.0,115000000.0,,,,,,58710584.43,684322.16,,,2232255.52,12833102.97,,,5205059.89,,,,,,,,,,194665324.97,,,,,,,,37550000.0,,,,,,,,,,,,,,,,,232215324.97,,,,,,847482408.19,847482408.19,1079697733.16,,,,,,,,,,
20101231,002476.SZ,20110412,20110412,1,1,120000000.0,625217670.09,100510985.44,17034109.58,,453025631.81,,79740557.77,82059871.42,2129302.28,11283691.08,,1610450.0,74532565.51,,,,,,,,,,704382069.87,,,,,,,,174846291.64,23333606.8,,,,,18087380.8,,,320000.0,1440927.95,,,218028207.19,,,,,,,,,,,,,,,,,922410277.06,,,,,,,,46829774.05,328001.35,,,5435674.72,5696192.8,,,1357869.03,,,,,,,,,,59647511.95,,,,,,,,,,,,,,,,,,,,,,,,,59647511.95,,,,,,862762765.11,862762765.11,922410277.06,,,,,,,,,,
20110331,002476.SZ,20110422,20110422,1,1,120000000.0,625217670.09,116787615.83,17034109.58,,403082402.94,,19090000.0,213721298.52,2526406.0,29422600.93,,1675000.0,87902234.52,,,,,,,,,,757419942.91,,,,,,,,169938459.33,31579997.26,,,,,17722540.57,,,290000.0,1440927.95,,,220971925.11,,,,,,,,,,,,,,,,,978391868.02,,40000000.0,,,,,,40879594.85,426076.46,,,5717430.83,10852453.65,,,1476916.73,,,,,,,,,,99352472.52,,,,,,,,,,,,,,,,,,,,,,,,,99352472.52,,,,,,879039395.5,879039395.5,978391868.02,,,,,,,,,,
20110630,002476.SZ,20110803,20110803,1,1,180000000.0,565217670.09,134963112.03,17747494.66,,411610255.17,,73537000.0,126031320.14,3846284.99,4242751.82,,3145986.11,98179756.02,,,,,,,,,,720593354.25,,,,,,,,165838833.8,87854613.06,,,,,17407700.42,3600000.0,,426666.66,1241312.0,,,276369125.94,,,,,,,,,,,,,,,,,996962480.19,,10000000.0,,,,,,76803702.24,342410.1,,,1990622.86,8337098.34,,,1560369.87,,,,,,,,,,99034203.41,,,,,,,,,,,,,,,,,,,,,,,,,99034203.41,,,,,,897928276.78,897928276.78,996962480.19,,,,,,,,,,
20110930,002476.SZ,20111020,20111020,1,1,180000000.0,565217670.09,151222646.91,17747494.66,,379968880.9,,51531522.92,138432702.69,4131535.24,50051963.17,,218583.33,81154472.7,,,,,,,,,,705489660.95,,,,,,,,160679700.74,98473957.47,,,,,17105047.83,3600000.0,,379999.98,1241312.0,,,281480018.02,,,,,,,,,,,,,,,,,986969678.97,,,,,,,,63817017.9,528738.05,,,2742448.36,4071002.13,,,1622660.87,,,,,,,,,,72781867.31,,,,,,,,,,,,,,,,,,,,,,,,,72781867.31,,,,,,914187811.66,914187811.66,986969678.97,,,,,,,,,,
20111231,002476.SZ,20120330,20120330,1,1,180000000.0,565217670.09,155953347.51,24528934.88,,320727844.84,,47183193.96,160494109.05,2327305.92,29182013.77,,1716794.52,107809878.64,,,,,,,,,16000000.0,685441140.7,,,,,,,,157680144.59,124164505.13,,,,,19776770.11,,,200000.0,1573553.45,,,303394973.28,,,,,,,,,,,,,,,,,988836113.98,,,,,,,,59001080.52,3927405.43,,,3011627.5,-3400582.71,,,596630.76,,,,,,,,,,63136161.5,,,,,,,,,,,,,,,,,,,,,,,,,63136161.5,,,,,,925699952.48,925699952.48,988836113.98,,,,,,,,,,
