end_date,ts_code,ann_date,f_ann_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
20031231,600727.SH,20040407,20040407,1,1,379300000.0,964681770.49,782113612.74,164871267.83,,493260149.54,,8311909.21,126538681.47,79215902.67,199090989.31,,,51144851.62,,,,,,,,,,957562483.82,,,,,,,,1538845769.6,629557275.13,7258.0,,,,76752676.85,,,,,,,2245162979.58,,,,,,,,,,,,,,,,,3202725463.4,515000000.0,86245000.0,,,,,1380000.0,179639987.53,7693030.22,,,10137332.63,23190302.21,,,21273159.75,,,,,,,,62500000.0,,392058812.34,,,4700000.0,,,,,519700000.0,,,,,,,,,,,,,,,,,911758812.34,,,,,,2290966651.06,2290966651.06,3202725463.4,,,,,,,,,,
20040331,600727.SH,20040427,20040427,1,1,379300000.0,964681770.49,795179746.91,164871267.83,,483678087.55,,18963157.67,127211968.34,70001360.92,199350541.18,,,114135137.54,4447167.77,,,,,,,,,1017787420.97,,,,,,,,1508026250.73,635920794.86,7258.0,,,,76331111.82,,,,,,,2220285415.41,,,,,,,,,,,,,,,,,3238072836.38,515000000.0,86245000.0,,,,,,196719897.83,16757620.93,,,7877208.47,25975795.64,,,15444991.38,2819536.9,,,,,,,62500000.0,,414340051.15,,,4700000.0,,,,,519700000.0,,,,,,,,,,,,,,,,,934040051.15,,,,,,2304032785.23,2304032785.23,3238072836.38,,,,,,,,,,
20040630,600727.SH,20040819,20040819,1,1,379300000.0,964681770.49,832864560.14,164871267.83,,431722239.23,,28354808.32,140868815.19,80368356.78,207405876.46,,,85651088.48,744747.03,,,,,,,,,975115931.49,,,,,,,,1490010065.86,780917658.67,7258.0,,,,75909546.8,,,,,,,2346844529.33,,,,,,,,,,,,,,,,,3321960460.82,485000000.0,69700000.0,,,,,60900000.0,210012855.88,16948145.88,,,8870922.99,11783208.9,,,37184551.15,12643177.56,,,,,,,62500000.0,,490542862.36,,,4700000.0,,,,,489700000.0,,,,,,,,,,,,,,,,,980242862.36,,,,,,2341717598.46,2341717598.46,3321960460.82,,,,,,,,,,
20040930,600727.SH,20041026,20041026,1,1,379300000.0,964681770.49,840965610.93,164871267.83,,442068105.04,,18136347.31,161304748.46,74504805.93,213234437.36,,,83109762.72,82318.84,,,,,,,,,992440525.66,,,,,,,,1463856826.69,796045503.16,,,,,75487981.77,,,,,,,2335390311.62,,,,,,,,,,,,,,,,,3327830837.28,485000000.0,73810000.0,,,,,60900000.0,192929480.32,31068770.51,,,10382677.43,14214291.87,,,24749715.24,17757252.66,,,,,,,62500000.0,,488312188.03,,,4700000.0,,,,,489700000.0,,,,,,,,,,,,,,,,,978012188.03,,,,,,2349818649.25,2349818649.25,3327830837.28,,,,,,,,,,
20041231,600727.SH,20050406,20050406,1,1,379300000.0,964681770.49,800520657.81,168119569.91,,375537874.34,,19289156.83,115362334.83,336636396.92,153324356.91,,,97280087.1,,,,,,,,,,1097430206.93,,,,,,,,1950684380.49,211695641.05,7258.0,,,,75066416.75,,,,,,,2237453696.29,,,,,,,,,,,,,,,,,3334883903.22,452500000.0,162905000.0,,,,,70500000.0,170509998.13,12168333.01,,,12353900.41,28016896.24,,,50807777.22,,,,,,,,62500000.0,,569761905.01,,,,,,,,452500000.0,,,,,,,,,,,,,,,,,1022261905.01,,,,,,2312621998.21,2312621998.21,3334883903.22,,,,,,,,,,
20050331,600727.SH,20050426,20050426,1,1,379300000.0,964681770.49,803877433.95,168119569.91,,357621348.94,,16035397.14,154494171.21,303268590.12,146401842.03,,,98740251.97,1063562.98,,,,,,,,,1077625164.39,,,,,,,,1909325810.23,212400481.05,7258.0,,,,75050363.75,,,,,,,2196783913.03,,,,,,,,,,,,,,,,,3274409077.42,452500000.0,146385000.0,,,,,40000000.0,172901441.37,12540093.42,,,10711084.53,26350587.41,,,33085236.98,1456859.36,,,,,,,62500000.0,,505930303.07,,,,,,,,452500000.0,,,,,,,,,,,,,,,,,958430303.07,,,,,,2315978774.35,2315978774.35,3274409077.42,,,,,,,,,,
20050630,600727.SH,20050824,20050824,1,1,379300000.0,964681770.49,813972436.06,168119569.91,,527586918.66,,9562228.34,90741439.11,247063966.99,153244313.73,,,123199150.66,3622203.94,,,,,,,,,1155020221.43,,,,,,,,1877224687.98,231548620.13,7258.0,,,,74223286.7,,,,,,,2183003852.81,,,,,,,,,,,,,,,,,3338024074.24,392500000.0,187155000.0,,,,,64000000.0,169906888.81,18284507.32,,,11926015.8,32690415.12,,,42987470.73,,,,,,,,92500000.0,,619450297.78,,,,,,,,392500000.0,,,,,,,,,,,,,,,,,1011950297.78,,,,,,2326073776.46,2326073776.46,3338024074.24,,,,,,,,,,
20050930,600727.SH,20051025,20051025,1,1,379300000.0,964681770.49,818520532.6,168119569.91,,366579818.69,,15205280.1,110883193.89,251032090.3,215636753.33,,,122098964.04,605454.82,,,,,,,,,1082041555.17,,,,,,,,1838820603.74,232308612.51,7258.0,,,,73801721.67,,,,,,,2144938195.92,,,,,,,,,,,,,,,,,3226979751.09,392500000.0,49875000.0,,,,,72000000.0,170887328.31,19148080.72,,,13045050.99,35624279.76,,,43829557.42,6948580.89,,,,,,,92500000.0,,503857878.09,,,,,,,,392500000.0,,,,,,,,,,,,,,,,,896357878.09,,,,,,2330621873.0,2330621873.0,3226979751.09,,,,,,,,,,
20051231,600727.SH,20060418,20060418,1,1,379300000.0,964681770.49,803207145.45,168593655.96,,420081940.55,,28326185.01,68626978.34,263750117.4,141882424.29,,,185685522.8,,,,,,,,,,1108353168.39,,,,,,,,1839742812.73,214023992.86,7258.0,,,,73380156.65,,,,,,,2127154220.24,,,,,,,,,,,,,,,,,3235507388.63,250000000.0,176845000.0,,,,,91800000.0,140166012.18,16839801.47,,,13861531.37,33594570.04,,,54117901.67,,,,,,,,142500000.0,,669724816.73,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,919724816.73,,,,,,2315782571.9,2315782571.9,3235507388.63,,,,,,,,,,
20060331,600727.SH,20060427,20060427,1,1,379300000.0,964681770.49,803892233.85,168593655.96,,465698028.73,,10684837.13,82736615.5,217515227.84,160826265.3,,,149692141.05,1552222.59,,,,,,,,,1088705338.14,,,,,,,,1799593408.91,214405876.7,7258.0,,,,72958591.62,,,,,,,2086965135.23,,,,,,,,,,,,,,,,,3175670473.37,250000000.0,209845000.0,,,,,92300000.0,132905531.54,14505413.78,,,12437426.88,37460199.24,,,47249241.63,,,,,,,,62500000.0,,609202813.07,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,859202813.07,,,,,,2316467660.3,2316467660.3,3175670473.37,,,,,,,,,,
