ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600230.SH,20171130,48.65,4.5046,8.3799,,38.5709,11.4201,5.8587,4.8617,3.3764,29418.8216,29418.8216,15814.0056,1431225.6708,1431225.6708
600237.SH,20171130,5.51,2.8433,3.4156,,,,2.528,5.2662,4.2023,56436.9565,56436.9565,46980.8285,310967.6303,310967.6303
002465.SZ,20171130,9.32,1.0654,1.3579,,40.5638,47.0817,2.6844,5.2212,5.4017,230739.5829,185391.1308,145451.282,2150492.9126,1727845.3391
600007.SH,20171130,16.92,0.0317,0.1639,,24.832,27.7236,2.7011,7.2543,6.5097,100728.2534,100728.2534,19492.2293,1704322.0475,1704322.0475
300068.SZ,20171130,15.55,0.6985,1.0162,,41.2427,30.2155,2.2441,1.902,1.5844,87350.5269,58672.4559,40330.789,1358300.6933,912356.6892
002853.SZ,20171130,34.75,12.7822,12.7822,,61.6646,47.9662,5.9786,8.5632,6.84,15534.15,3900.0,3900.0,539811.7125,135525.0
300552.SZ,20171130,27.48,2.4103,2.8654,,42.9139,116.5712,3.8261,4.6812,5.2653,10829.6,3976.204,3344.704,297597.408,109266.0859
601369.SH,20171130,7.54,0.7858,2.1787,,51.5751,43.5177,2.0318,3.4255,3.3107,163877.0233,163877.0233,59106.631,1235632.7557,1235632.7557
002518.SZ,20171130,16.45,0.6795,1.882,,32.7533,27.1176,4.5754,5.5359,4.2197,58907.8794,55277.8502,19959.3624,969034.6161,909320.6358
601818.SH,20171130,4.18,0.5016,0.7622,,6.4334,6.2289,0.713,2.0749,2.1192,4667912.3385,3981038.7885,2620044.367,19511873.5749,16640742.1359
600926.SH,20171130,12.04,1.149,1.2189,,10.9725,10.1896,1.0692,3.2127,3.3372,366442.888,146565.7368,138165.7368,4411972.3715,1764651.4711
002166.SZ,20171130,10.34,1.0802,1.2654,,64.9048,38.6739,4.8344,7.9123,5.7262,43728.1362,34899.0346,29791.5853,452148.9283,360856.0178
600841.SH,20171130,15.17,1.0519,5.2068,,134.355,104.0791,3.6544,5.1658,3.9583,86668.983,52189.253,10544.0,1314768.4721,791710.968
300126.SZ,20171130,7.07,0.5045,0.5917,,345.5947,,2.0831,4.0959,4.4591,30540.88,21037.5129,17935.7097,215924.0216,148735.2162
300718.SZ,20171130,40.13,15.4497,15.4497,,49.6986,34.0996,4.0654,9.9339,7.6161,10000.0,2500.0,2500.0,401300.0,100325.0
000708.SZ,20171130,12.28,1.3738,3.281,,18.8558,15.449,1.4107,0.8633,0.6341,44940.848,44940.848,18817.0,551873.6134,551873.6134
002626.SZ,20171130,19.48,1.1445,2.9887,,40.0612,34.8525,5.3155,7.2224,6.542,61648.1927,60012.6867,22981.3818,1200906.7938,1169047.1369
600816.SH,20171130,13.72,0.444,0.6623,,20.6103,17.6214,4.0773,11.9197,10.5485,455761.4932,249760.3779,167452.267,6253047.6867,3426712.3848
002909.SZ,20171130,21.15,16.9168,16.9168,,59.4474,52.2866,5.327,5.0621,3.5545,12000.0,3000.0,3000.0,253800.0,63450.0
300593.SZ,20171130,21.78,4.3904,4.3904,,57.0669,68.1727,4.5688,7.2178,7.1395,11554.0,2889.0,2889.0,251646.12,62922.42
603833.SH,20171130,110.93,1.0018,1.0018,,49.135,39.5578,7.6119,6.5399,5.1807,42059.6464,4151.0,4151.0,4665676.5752,460470.43
600545.SH,20171130,10.88,2.0699,2.6574,,,45.8832,7.5404,6.4632,2.8922,189541.2995,67578.5778,52638.5346,2062209.3386,735254.9265
002852.SZ,20171130,35.18,1.969,1.969,,29.0696,39.2997,3.1802,2.2225,1.9143,17000.0,4250.0,4250.0,598060.0,149515.0
