trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount
20170728,300678.SZ,9.42,11.3,9.42,11.3,7.85,3.45,43.95,96.0,108.01
20170731,300678.SZ,12.43,12.43,12.43,12.43,11.3,1.13,10.0,35.54,44.176
20170801,300678.SZ,13.67,13.67,13.67,13.67,12.43,1.24,9.98,54.16,74.036
20170802,300678.SZ,15.04,15.04,15.04,15.04,13.67,1.37,10.02,79.87,120.124
20170803,300678.SZ,16.54,16.54,16.54,16.54,15.04,1.5,9.97,133.87,221.42
20170804,300678.SZ,18.19,18.19,18.19,18.19,16.54,1.65,9.98,277.42,504.626
20170807,300678.SZ,20.01,20.01,20.01,20.01,18.19,1.82,10.01,278.35,556.978
20170808,300678.SZ,22.01,22.01,22.01,22.01,20.01,2.0,10.0,550.83,1212.376
20170809,300678.SZ,24.21,24.21,24.21,24.21,22.01,2.2,10.0,3659.77,8860.303
20170810,300678.SZ,26.62,26.63,26.01,26.63,24.21,2.42,10.0,49648.04,131980.396
20170811,300678.SZ,27.0,28.8,25.06,27.3,26.63,0.67,2.52,167098.69,444919.47
20170814,300678.SZ,26.88,30.03,26.5,30.03,27.3,2.73,10.0,128222.05,370172.677
20170815,300678.SZ,29.9,33.03,29.58,33.03,30.03,3.0,9.99,131566.33,408734.847
20170816,300678.SZ,33.03,36.33,32.16,36.33,33.03,3.3,9.99,117547.96,402720.042
20170817,300678.SZ,36.33,39.96,36.0,39.96,36.33,3.63,9.99,69581.2,264768.917
20170818,300678.SZ,42.11,43.96,40.9,43.2,39.96,3.24,8.11,140713.41,600354.447
20170821,300678.SZ,43.75,47.52,43.51,47.52,43.2,4.32,10.0,48815.41,225531.829
20170822,300678.SZ,52.27,52.27,50.73,52.27,47.52,4.75,10.0,53827.75,280218.848
20170823,300678.SZ,55.48,57.5,54.5,57.5,52.27,5.23,10.01,54557.11,308492.296
20170824,300678.SZ,62.08,63.25,60.5,63.25,57.5,5.75,10.0,16563.08,103254.848
20170901,300678.SZ,69.58,69.58,69.58,69.58,63.25,6.33,10.01,6425.61,44709.394
20170904,300678.SZ,72.0,76.54,66.81,71.97,69.58,2.39,3.43,117900.4,863976.0
20170905,300678.SZ,69.0,79.17,69.0,79.17,71.97,7.2,10.0,97274.06,725967.071
20170920,300678.SZ,79.5,87.09,79.5,87.09,79.17,7.92,10.0,87170.09,733640.768
20170921,300678.SZ,91.5,92.99,85.0,90.8,87.09,3.71,4.26,86109.57,771437.056
20170922,300678.SZ,88.0,89.79,82.5,82.79,90.8,-8.01,-8.82,79964.79,682857.327
20170925,300678.SZ,82.5,91.07,82.5,91.07,82.79,8.28,10.0,92856.94,821500.119
20170926,300678.SZ,87.6,88.6,81.96,81.96,91.07,-9.11,-10.0,50880.4,423630.514
20170927,300678.SZ,76.65,79.77,74.52,77.45,81.96,-4.51,-5.5,104191.97,800092.688
20170928,300678.SZ,76.51,79.36,73.8,74.71,77.45,-2.74,-3.54,83510.64,639368.217
20170929,300678.SZ,74.8,76.8,72.72,74.95,74.71,0.24,0.32,67680.78,508893.72
20171009,300678.SZ,75.5,79.94,73.02,76.88,74.95,1.93,2.58,77796.0,600737.356
20171010,300678.SZ,78.98,84.57,78.5,82.26,76.88,5.38,7.0,123827.45,1024597.469
20171011,300678.SZ,77.89,78.0,74.03,74.03,82.26,-8.23,-10.0,107237.7,805535.766
20171012,300678.SZ,71.0,72.97,69.88,72.48,74.03,-1.55,-2.09,67578.12,483478.953
20171013,300678.SZ,72.56,75.25,70.68,74.13,72.48,1.65,2.28,55744.08,407720.219
20171016,300678.SZ,73.9,73.9,69.98,70.02,74.13,-4.11,-5.54,50281.53,356785.791
20171017,300678.SZ,70.11,72.06,69.2,70.19,70.02,0.17,0.24,40017.54,283658.029
20171018,300678.SZ,70.05,71.7,66.5,67.02,70.19,-3.17,-4.52,53942.13,372711.276
20171019,300678.SZ,67.5,69.2,65.5,68.28,67.02,1.26,1.88,53053.42,357682.987
20171020,300678.SZ,67.6,68.5,66.51,68.15,68.28,-0.13,-0.19,38582.85,260963.848
20171023,300678.SZ,67.3,69.41,66.96,67.33,68.15,-0.82,-1.2,37272.08,252975.514
20171024,300678.SZ,66.85,71.77,65.53,69.2,67.33,1.87,2.78,71379.78,493485.466
20171025,300678.SZ,68.0,76.12,67.5,76.12,69.2,6.92,10.0,91578.98,665027.113
20171026,300678.SZ,77.56,78.2,73.25,73.8,76.12,-2.32,-3.05,86065.7,647592.196
20171027,300678.SZ,72.0,73.12,69.2,69.57,73.8,-4.23,-5.73,68492.03,485137.621
20171030,300678.SZ,70.03,75.1,68.9,70.8,69.57,1.23,1.77,73465.19,523513.569
20171031,300678.SZ,69.5,72.39,67.41,71.67,70.8,0.87,1.23,59229.3,413643.01
20171101,300678.SZ,71.5,74.7,71.21,71.5,71.67,-0.17,-0.24,72566.37,530444.96
20171102,300678.SZ,69.2,78.0,68.88,74.05,71.5,2.55,3.57,92288.99,677477.662
20171103,300678.SZ,72.8,76.3,72.78,74.48,74.05,0.43,0.58,68529.06,511127.448
20171106,300678.SZ,76.2,81.93,75.15,81.93,74.48,7.45,10.0,108187.97,858998.126
20171107,300678.SZ,80.3,90.0,79.4,85.11,81.93,3.18,3.88,117874.74,995147.957
20171108,300678.SZ,85.0,86.89,82.56,83.99,85.11,-1.12,-1.32,84100.88,708733.916
20171109,300678.SZ,82.57,83.95,80.0,80.7,83.99,-3.29,-3.92,64965.77,531801.109
20171110,300678.SZ,81.86,83.85,79.52,80.95,80.7,0.25,0.31,61491.83,502390.164
20171113,300678.SZ,80.8,89.05,79.01,88.6,80.95,7.65,9.45,103118.53,871399.369
