trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount
20170622,603380.SH,15.38,15.38,15.38,15.38,10.68,4.7,44.01,136.96,210.644
20170623,603380.SH,16.92,16.92,16.92,16.92,15.38,1.54,10.01,52.08,88.119
20170626,603380.SH,18.61,18.61,18.61,18.61,16.92,1.69,9.99,96.0,178.656
20170627,603380.SH,20.47,20.47,20.47,20.47,18.61,1.86,9.99,223.67,457.852
20170628,603380.SH,22.52,22.52,22.52,22.52,20.47,2.05,10.01,816.25,1838.195
20170629,603380.SH,24.77,24.77,24.77,24.77,22.52,2.25,9.99,1243.23,3079.481
20170630,603380.SH,27.25,27.25,25.6,27.25,24.77,2.48,10.01,232492.97,619914.338
20170703,603380.SH,26.0,26.93,25.72,26.74,27.25,-0.51,-1.87,170644.65,447710.261
20170704,603380.SH,26.43,29.41,26.41,29.41,26.74,2.67,9.99,265413.41,757583.412
20170705,603380.SH,29.0,30.18,28.35,29.69,29.41,0.28,0.95,225302.41,660802.575
20170706,603380.SH,28.96,29.53,28.34,28.86,29.69,-0.83,-2.8,165927.41,478650.452
20170707,603380.SH,28.46,28.52,27.03,27.81,28.86,-1.05,-3.64,151667.18,421817.382
20170710,603380.SH,27.69,27.69,25.03,25.12,27.81,-2.69,-9.67,136932.29,355569.648
20170711,603380.SH,24.99,25.39,24.55,24.95,25.12,-0.17,-0.68,68397.22,170716.002
20170712,603380.SH,24.7,25.55,24.6,25.44,24.95,0.49,1.96,66954.2,168393.482
20170713,603380.SH,25.27,25.28,24.02,24.32,25.44,-1.12,-4.4,68847.86,168465.906
20170714,603380.SH,24.6,24.6,23.5,23.57,24.32,-0.75,-3.08,44356.34,106606.582
20170717,603380.SH,23.0,23.0,21.21,21.21,23.57,-2.36,-10.01,67512.48,147015.214
20170718,603380.SH,20.88,21.5,20.38,21.44,21.21,0.23,1.08,47742.39,100253.353
20170719,603380.SH,21.25,21.74,20.71,21.44,21.44,0.0,0.0,42346.88,90181.559
20170720,603380.SH,21.3,21.78,20.97,21.07,21.44,-0.37,-1.73,41364.75,88507.843
20170721,603380.SH,20.9,21.26,20.71,20.85,21.07,-0.22,-1.04,29332.48,61406.565
20170724,603380.SH,20.55,21.13,20.17,20.91,20.85,0.06,0.29,37592.51,77523.214
20170725,603380.SH,20.79,21.2,20.68,20.78,20.91,-0.13,-0.62,24338.64,50863.93
20170726,603380.SH,20.77,20.95,20.21,20.4,20.78,-0.38,-1.83,26452.22,54323.263
20170727,603380.SH,20.25,21.12,20.09,21.0,20.4,0.6,2.94,37174.58,77002.832
20170728,603380.SH,21.06,21.84,20.89,21.16,21.0,0.16,0.76,51875.83,111292.348
20170731,603380.SH,20.95,21.1,20.66,20.81,21.16,-0.35,-1.65,31532.97,65678.531
20170801,603380.SH,20.81,20.97,20.55,20.94,20.81,0.13,0.62,27968.39,58210.957
20170802,603380.SH,20.77,20.96,20.25,20.41,20.94,-0.53,-2.53,26896.93,55433.076
20170803,603380.SH,20.24,20.7,20.24,20.43,20.41,0.02,0.1,17363.06,35514.216
20170804,603380.SH,20.49,20.56,19.79,19.81,20.43,-0.62,-3.03,27214.85,54848.987
20170807,603380.SH,19.9,20.29,19.85,20.01,19.81,0.2,1.01,15127.5,30374.714
20170808,603380.SH,20.0,20.01,19.69,19.81,20.01,-0.2,-1.0,17947.11,35582.474
20170809,603380.SH,19.8,19.95,19.69,19.73,19.81,-0.08,-0.4,14137.59,27968.85
20170810,603380.SH,19.71,20.13,19.43,19.83,19.73,0.1,0.51,34156.73,67528.429
20170811,603380.SH,19.68,19.68,19.03,19.05,19.83,-0.78,-3.93,28750.68,55434.029
20170814,603380.SH,19.02,19.32,19.02,19.22,19.05,0.17,0.89,16278.69,31315.183
20170815,603380.SH,19.31,19.65,19.22,19.53,19.22,0.31,1.61,20547.11,39952.361
20170816,603380.SH,19.54,21.48,19.32,21.09,19.53,1.56,7.99,86708.73,178513.621
20170817,603380.SH,20.86,21.26,20.63,20.88,21.09,-0.21,-1.0,53808.27,112702.899
20170818,603380.SH,20.67,20.83,20.34,20.4,20.88,-0.48,-2.3,31518.41,64803.799
20170821,603380.SH,20.33,22.26,20.31,21.97,20.4,1.57,7.7,76726.73,163941.092
20170822,603380.SH,21.84,22.55,21.65,21.73,21.97,-0.24,-1.09,83498.69,184175.709
20170823,603380.SH,21.61,22.19,21.03,21.93,21.73,0.2,0.92,65598.5,141905.518
20170824,603380.SH,21.67,22.52,21.54,21.55,21.93,-0.38,-1.73,77615.7,170752.103
20170825,603380.SH,21.4,22.74,21.3,22.42,21.55,0.87,4.04,92685.66,205776.478
20170828,603380.SH,22.78,23.95,22.31,23.56,22.42,1.14,5.08,108413.19,250280.677
20170829,603380.SH,23.3,24.68,23.0,23.37,23.56,-0.19,-0.81,120893.55,286943.034
20170830,603380.SH,23.01,23.5,22.51,22.63,23.37,-0.74,-3.17,70414.56,161427.089
20170831,603380.SH,22.63,24.24,22.63,24.05,22.63,1.42,6.27,96083.57,227250.684
20170901,603380.SH,24.08,24.47,23.51,24.18,24.05,0.13,0.54,86105.58,206801.665
20170904,603380.SH,23.9,24.18,23.37,23.48,24.18,-0.7,-2.9,57335.89,135993.621
20170905,603380.SH,23.49,24.19,23.49,23.7,23.48,0.22,0.94,50070.37,119477.75
20170906,603380.SH,23.21,23.42,22.52,23.05,23.7,-0.65,-2.74,63881.25,146364.094
20170907,603380.SH,22.94,23.38,22.66,22.75,23.05,-0.3,-1.3,42919.65,98957.83
20170908,603380.SH,22.82,23.2,22.65,22.91,22.75,0.16,0.7,35481.26,81242.713
20170911,603380.SH,22.91,23.95,22.74,23.85,22.91,0.94,4.1,48015.33,112612.935
20170912,603380.SH,23.62,23.91,22.92,23.01,23.85,-0.84,-3.52,48663.65,113244.001
20170913,603380.SH,22.98,23.0,22.45,22.88,23.01,-0.13,-0.57,36208.74,82307.707
20170914,603380.SH,22.91,22.99,22.62,22.72,22.88,-0.16,-0.7,25750.81,58701.353
20170915,603380.SH,22.77,23.2,22.7,22.81,22.72,0.09,0.4,28722.97,65890.277
20170918,603380.SH,22.55,22.77,22.23,22.48,22.81,-0.33,-1.45,27008.26,60481.065
20170919,603380.SH,22.5,22.8,22.41,22.57,22.48,0.09,0.4,18534.19,41904.361
20170920,603380.SH,22.51,23.3,22.51,23.28,22.57,0.71,3.15,35598.98,81762.048
20170921,603380.SH,23.14,25.2,23.14,23.92,23.28,0.64,2.75,101824.99,246547.14
20170922,603380.SH,23.85,25.82,23.4,25.4,23.92,1.48,6.19,122473.55,305581.031
20170925,603380.SH,24.99,25.84,24.21,24.46,25.4,-0.94,-3.7,86623.47,216565.691
20170926,603380.SH,24.43,24.79,22.82,23.3,24.46,-1.16,-4.74,64664.69,152418.162
20170927,603380.SH,23.3,24.44,23.08,24.42,23.3,1.12,4.81,53177.18,127036.524
20170928,603380.SH,24.28,24.39,23.7,23.82,24.42,-0.6,-2.46,45615.25,109722.067
20170929,603380.SH,23.81,24.6,23.81,24.15,23.82,0.33,1.39,41385.9,100320.944
20171009,603380.SH,24.61,24.77,24.19,24.26,24.15,0.11,0.46,40566.92,99171.211
20171010,603380.SH,24.26,25.17,24.23,25.1,24.26,0.84,3.46,52481.52,130169.011
20171011,603380.SH,25.24,25.24,23.89,24.01,25.1,-1.09,-4.34,51919.66,127471.41
20171012,603380.SH,23.86,24.63,23.8,24.14,24.01,0.13,0.54,34104.56,82592.301
20171013,603380.SH,24.15,24.78,23.93,24.72,24.14,0.58,2.4,42736.12,104667.693
20171016,603380.SH,24.72,24.72,23.09,23.38,24.72,-1.34,-5.42,48446.89,115769.39
20171017,603380.SH,23.36,23.93,23.24,23.72,23.38,0.34,1.45,26110.37,61757.26
20171018,603380.SH,23.69,24.08,22.81,23.06,23.72,-0.66,-2.78,33452.04,78387.277
20171019,603380.SH,22.87,23.13,22.5,22.68,23.06,-0.38,-1.65,24093.52,54860.918
20171020,603380.SH,22.65,23.13,22.65,23.01,22.68,0.33,1.46,14373.62,32980.093
20171023,603380.SH,22.99,23.73,22.95,23.49,23.01,0.48,2.09,19106.04,44826.234
