trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount
20000719,T00018.SH,20.0,20.88,19.65,20.0,11.98,8.02,66.94,469582.0,941085.125
20000720,T00018.SH,19.9,20.45,19.51,19.63,20.0,-0.37,-1.85,82586.0,165149.989
20000721,T00018.SH,19.65,19.84,19.08,19.18,19.63,-0.45,-2.29,48829.0,94463.17
20000724,T00018.SH,19.25,19.69,19.2,19.29,19.18,0.11,0.57,33091.0,64278.723
20000725,T00018.SH,19.4,20.18,19.25,19.8,19.29,0.51,2.64,36955.0,72830.318
20000726,T00018.SH,19.85,19.88,19.5,19.78,19.8,-0.02,-0.1,14719.0,28925.05
20000727,T00018.SH,19.78,20.0,19.51,19.6,19.78,-0.18,-0.91,23688.0,46730.394
20000728,T00018.SH,19.61,19.96,19.56,19.58,19.6,-0.02,-0.1,17361.0,34202.148
20000731,T00018.SH,19.6,19.65,19.28,19.34,19.58,-0.24,-1.23,18833.0,36442.654
20000801,T00018.SH,19.34,19.6,19.28,19.38,19.34,0.04,0.21,10873.0,21067.064
20000802,T00018.SH,19.5,20.09,19.45,19.74,19.38,0.36,1.86,32812.0,65189.876
20000803,T00018.SH,19.78,20.0,19.68,19.72,19.74,-0.02,-0.1,16513.0,32814.36
20000804,T00018.SH,19.8,19.98,19.61,19.8,19.72,0.08,0.41,13981.0,27697.463
20000807,T00018.SH,19.9,20.4,19.7,20.26,19.8,0.46,2.32,36734.0,74100.227
20000808,T00018.SH,20.36,20.4,19.88,19.92,20.26,-0.34,-1.68,19257.0,38647.074
20000809,T00018.SH,19.95,20.19,19.95,20.0,19.92,0.08,0.4,14946.0,29957.815
20000810,T00018.SH,20.1,20.18,19.76,20.0,20.0,0.0,0.0,15791.0,31521.75
20000811,T00018.SH,20.0,20.07,19.83,20.0,20.0,0.0,0.0,12779.0,25502.284
20000814,T00018.SH,20.0,20.35,19.92,20.19,20.0,0.19,0.95,19936.0,40234.604
20000815,T00018.SH,20.26,20.69,20.1,20.5,20.19,0.31,1.54,36704.0,75058.211
20000816,T00018.SH,20.5,20.65,20.29,20.35,20.5,-0.15,-0.73,16968.0,34675.498
20000817,T00018.SH,20.5,20.89,20.35,20.65,20.35,0.3,1.47,32755.0,67757.543
20000818,T00018.SH,20.7,20.83,20.47,20.5,20.65,-0.15,-0.73,17821.0,36745.595
20000821,T00018.SH,20.7,20.85,20.45,20.54,20.5,0.04,0.2,26071.0,53684.604
20000822,T00018.SH,20.98,21.53,20.61,20.66,20.54,0.12,0.58,35354.0,74204.623
20000823,T00018.SH,20.66,22.63,20.45,21.95,20.66,1.29,6.24,101054.0,215939.323
20000824,T00018.SH,22.0,22.31,21.68,22.15,21.95,0.2,0.91,62812.0,138801.141
20000825,T00018.SH,22.2,22.38,21.89,22.23,22.15,0.08,0.36,26876.0,59495.692
20000828,T00018.SH,22.33,22.5,22.06,22.24,22.23,0.01,0.05,18210.0,40462.369
20000829,T00018.SH,22.3,23.16,22.13,22.95,22.24,0.71,3.19,35749.0,81333.032
20000830,T00018.SH,23.0,23.09,22.4,22.47,22.95,-0.48,-2.09,36151.0,82428.716
20000831,T00018.SH,22.35,22.43,21.56,21.57,22.47,-0.9,-4.01,45471.0,99862.588
20000901,T00018.SH,21.35,21.77,21.3,21.38,21.57,-0.19,-0.88,25405.0,54638.145
20000904,T00018.SH,21.19,21.99,21.04,21.78,21.38,0.4,1.87,21614.0,46282.334
20000905,T00018.SH,21.8,21.9,21.0,21.02,21.78,-0.76,-3.49,17820.0,37963.837
20000906,T00018.SH,20.98,21.4,20.71,21.15,21.02,0.13,0.62,25084.34,52946.298
20000907,T00018.SH,21.26,21.58,21.06,21.26,21.15,0.11,0.52,11067.0,23535.0
20000908,T00018.SH,21.28,21.49,21.0,21.25,21.26,-0.01,-0.05,8473.0,17995.973
20000911,T00018.SH,21.3,21.5,21.11,21.48,21.25,0.23,1.08,6288.0,13426.18
20000912,T00018.SH,21.48,21.5,21.2,21.3,21.48,-0.18,-0.84,5667.0,12088.57
20000913,T00018.SH,21.3,21.76,21.3,21.39,21.3,0.09,0.42,10199.0,21983.651
20000914,T00018.SH,21.38,21.73,21.38,21.5,21.39,0.11,0.51,6963.0,14975.419
20000915,T00018.SH,21.5,21.51,21.08,21.28,21.5,-0.22,-1.02,6252.0,13308.0
20000918,T00018.SH,21.35,21.38,20.65,20.65,21.28,-0.63,-2.96,10668.0,22305.54
20000919,T00018.SH,20.5,20.5,20.18,20.22,20.65,-0.43,-2.08,11313.0,22950.137
20000920,T00018.SH,20.5,20.7,20.0,20.65,20.22,0.43,2.13,7851.0,16019.958
20000921,T00018.SH,20.69,20.7,20.25,20.25,20.65,-0.4,-1.94,4099.0,8370.492
20000922,T00018.SH,20.2,20.6,20.09,20.34,20.25,0.09,0.44,3759.0,7627.345
20000925,T00018.SH,20.4,20.5,20.1,20.12,20.34,-0.22,-1.08,3248.0,6566.731
20000926,T00018.SH,20.22,20.45,20.13,20.18,20.12,0.06,0.3,3209.0,6482.742
20000927,T00018.SH,20.33,20.48,20.18,20.4,20.18,0.22,1.09,2764.0,5623.924
20000928,T00018.SH,20.45,20.45,20.25,20.25,20.4,-0.15,-0.74,2904.0,5896.993
20000929,T00018.SH,20.39,20.68,20.25,20.49,20.25,0.24,1.19,3910.0,8021.056
20001009,T00018.SH,20.5,20.55,20.09,20.28,20.49,-0.21,-1.02,4916.0,9954.896
20001010,T00018.SH,20.27,20.48,20.25,20.44,20.28,0.16,0.79,3736.0,7617.219
20001011,T00018.SH,20.6,20.98,20.44,20.57,20.44,0.13,0.64,7238.0,14971.3
20001012,T00018.SH,20.65,20.7,20.36,20.4,20.57,-0.17,-0.83,3447.0,7059.874
20001013,T00018.SH,20.35,20.45,20.2,20.29,20.4,-0.11,-0.54,5018.0,10181.627
20001016,T00018.SH,20.16,20.5,20.15,20.2,20.29,-0.09,-0.44,3465.0,7010.69
20001017,T00018.SH,20.25,20.25,20.05,20.11,20.2,-0.09,-0.45,3756.0,7552.049
20001018,T00018.SH,20.15,20.5,20.15,20.39,20.11,0.28,1.39,4193.0,8515.505
20001019,T00018.SH,20.38,20.6,20.35,20.48,20.39,0.09,0.44,6690.0,13726.177
20001020,T00018.SH,20.5,20.79,20.45,20.78,20.48,0.3,1.46,7808.0,16138.091
20001023,T00018.SH,20.85,21.1,20.65,20.89,20.78,0.11,0.53,9949.0,20741.729
20001024,T00018.SH,20.89,21.0,20.6,20.77,20.89,-0.12,-0.57,7829.0,16194.122
20001025,T00018.SH,20.9,21.58,20.85,21.27,20.77,0.5,2.41,19166.0,40714.644
