end_date,ts_code,ann_date,f_ann_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
20131231,002919.SZ,20160624,20160624,1,1,57400000.0,27802905.57,56684903.31,6780176.92,,69230566.61,,,21915249.31,964781.97,8950573.04,,,136346945.18,,,,,,,,,2845521.16,240253637.27,,,,,,,,65652278.05,,,,,,6448801.36,,,2499519.62,4193136.66,,,78793735.69,,,,,,,,,,,,,,,,,319047372.96,,30000000.0,,,,,,52979721.42,51409367.75,,,14810412.57,567532.2,,,19612353.22,,,,,,,,,,169379387.16,,,,,,1000000.0,,1000000.0,,,,,,,,,,,,,,,,,170379387.16,,,,,,148667985.8,148667985.8,319047372.96,,,,,,,,,,
20141231,002919.SZ,20171129,20171129,1,1,57400000.0,27802905.57,84477699.34,10773579.32,,90096023.28,,12090680.0,27595191.03,1086639.19,8503997.34,,,160988565.66,,,,,,,,,1318659.71,301679756.21,,,,,,,,59842408.8,2885618.42,,,,,5376958.88,,,7186567.7,5763876.6,,,81055430.4,,,,,,,,,,,,,,,,,382735186.61,,30000000.0,,,,,,48387680.43,67694486.27,,,18428269.87,6797381.02,,,30973184.79,,,,,,,,,,202281002.38,,,,,,,,,,,,,,,,,,,,,,,,,202281002.38,,,,,,180454184.23,180454184.23,382735186.61,,,,,,,,,,
20151231,002919.SZ,20171129,20171129,1,1,61063830.0,157396586.16,9603216.0,1899079.22,,166666339.41,,,31774211.71,701125.57,4878399.59,,,187950122.05,,,,,,,,,6346.67,391976545.0,,,,9276568.81,,,,48703718.56,7585707.0,,,,,5185009.88,,,3790931.65,6290549.67,,,80832485.57,,,,,,,,,,,,,,,,,472809030.57,,,,,,,,84069717.1,96216276.58,,,22455828.18,7247293.27,,,32857204.06,,,,,,,,,,242846319.19,,,,,,,,,,,,,,,,,,,,,,,,,242846319.19,,,,,,229962711.38,229962711.38,472809030.57,,,,,,,,,,
20161231,002919.SZ,20171129,20171129,1,1,61063830.0,167396586.16,53111322.65,5799975.99,,250909028.92,5.3,,11402239.06,986278.24,4856869.37,,,171114836.9,,,,,,,,,42055.38,439311313.17,,,,8633870.29,,,,53271689.4,388722.24,,,,,5418284.09,,,4239461.66,5220259.95,,898790.0,78071077.63,,,,,,,,,,,,,,,,,517382390.8,,,,,,,,101939178.21,66717347.26,,,23690732.69,5478367.04,,,31585050.8,,,,,,,,,,229410676.0,,,,,,600000.0,,600000.0,,,,,,,,,,,,,,,,,230010676.0,,,,,,287371714.8,287371714.8,517382390.8,,,,,,,,,,
20170630,002919.SZ,20171129,20171129,1,1,61063830.0,167396586.16,60326470.58,5799975.99,,170886991.89,11.43,3600000.0,28955526.85,1234131.36,8952182.83,,,185212669.43,,,,,,,,,42055.38,398883569.17,,,,8312521.03,,,,50323258.87,2778216.07,,,,,5327673.58,,,3471080.01,6405771.41,,1627600.0,78246120.97,,,,,,,,,,,,,,,,,477129690.14,,,,,,,,94146048.2,39446032.59,,,13810161.15,6515572.44,,,27925013.03,,,,,,,,,,181842827.41,,,,,,700000.0,,700000.0,,,,,,,,,,,,,,,,,182542827.41,,,,,,294586862.73,294586862.73,477129690.14,,,,,,,,,,
20170930,002919.SZ,20171129,20171129,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463022900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155024000.0,,,,,,307998800.0,307998800.0,463022900.0,,,,,,,,,,
20171231,002919.SZ,20180420,20180420,1,1,81423830.0,363941889.44,82001458.73,10152786.41,,424209805.78,,2100000.0,22661770.13,1188148.69,2928421.92,,,156444687.33,,,,,,,,,,609532833.85,,,,7991171.77,,,,48866703.98,5495112.39,,,,,5456464.03,,,2522325.58,4851606.96,,,75183384.71,,,,,,,,,,,,,,,,,684716218.56,,,,,,,,66989420.02,25461256.18,,,24087088.48,6855144.93,,,23103344.37,,,,,,,,,,146496253.98,,,,,,700000.0,,700000.0,,,,,,,,,,,,,,,,,147196253.98,,,,,,537519964.58,537519964.58,684716218.56,,,,,,,,,,
20180331,002919.SZ,20180424,20180424,1,1,81423830.0,363941889.44,90696858.11,10152786.41,,142530133.18,,9400000.0,46997673.09,1375406.3,5967669.81,,,168929700.65,,,,,,,,,221133604.36,596334187.39,,,,7830497.14,,,,47527028.5,5558510.78,,,,,5704693.53,,,2324677.92,5217522.27,,,74162930.14,,,,,,,,,,,,,,,,,670497117.53,,,,,,,,63330700.92,19846681.36,,,7834125.45,7198715.56,,,25371530.28,,,,,,,,,,123581753.57,,,,,,700000.0,,700000.0,,,,,,,,,,,,,,,,,124281753.57,,,,,,546215363.96,546215363.96,670497117.53,,,,,,,,,,
20180630,002919.SZ,20180827,20180827,1,1,81423830.0,363941889.44,85181765.33,10152786.41,,101349874.46,,14550000.0,46162284.41,2352773.27,2938661.84,,,177624590.88,,,,,,,,,243047488.4,588025673.26,,,,7669822.51,,,,47385320.36,7322212.71,,,,,5654940.92,,,1640591.47,4888071.53,,,74560959.5,,,,,,,,,,,,,,,,,662586632.76,,,,,,,,69095162.32,13291681.57,,,11751445.64,5020573.69,,,22027498.36,,,,,,,,,,121186361.58,,,,,,700000.0,,700000.0,,,,,,,,,,,,,,,,,121886361.58,,,,,,540700271.18,540700271.18,662586632.76,,,,,,,,,,
20180930,002919.SZ,20181024,20181024,1,1,81423830.0,363941889.44,91206371.14,10152786.41,,159599511.51,,9860000.0,32051389.02,,3315528.09,,,173811789.7,,,,,,,,,202591582.31,583175643.5,,,,7509147.88,,,,48613596.35,5161623.23,,,,,5756748.64,,,1113786.67,4346881.36,,,72501784.13,,,,,,,,,,,,,,,,,655677427.63,,,,,,,,,27267955.4,,,7578100.33,3177624.51,,,,,,,,,,,,,108852550.64,,,,,,100000.0,,100000.0,,,,,,,,,,,,,,,,,108952550.64,,,,,,546724876.99,546724876.99,655677427.63,,,,,,,,,,
