end_date,ts_code,ann_date,f_ann_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
20111231,603019.SH,20141016,20141016,1,1,225000000.0,121314117.96,125351550.22,20836973.1,,347548546.23,,35162689.45,80823222.29,79333878.78,36906062.21,,,341737780.33,,,,,,,,,2938192.55,924450371.84,,,1000000.0,,,,,143843394.56,165447057.79,,,,,47529785.98,,,719260.64,15786475.41,,139200802.74,513526777.12,,,,,,,,,,,,,,,,,1437977148.96,25000000.0,119000000.0,,,,,71133773.2,230695293.88,205930248.93,,,29015051.65,-34589204.47,,,9607788.8,,,,,,,,40000000.0,809100.0,671602051.99,,,154385000.0,,7636.01,,86517932.74,265910568.75,,,,,,,,,,,,,,,,,937512620.74,,,-782196.13,,8744083.07,491720445.15,500464528.22,1437977148.96,,,,,,,,,,
20121231,603019.SH,20141016,20141016,1,1,225000000.0,121314117.96,271013084.21,26590298.58,,449019703.75,,21040923.0,219127159.35,65641703.74,94272115.34,,,360279115.98,,,,,,,,,2778152.88,1212158874.04,,,1000000.0,,,,,389118731.73,134290568.73,,,,,44641844.73,,,4376858.66,8878913.07,,81969240.52,664276157.44,,,,,,,,,,,,,,,,,1876435031.48,70000000.0,349570000.0,,,,,,411097104.16,108079936.75,,,14240876.01,-1728312.45,,,13992638.42,,,,,,,,,499595.28,895751838.17,,,85714100.0,,33481.49,,167589748.22,323337329.71,,,,,,,,,,,,,,,,,1219089167.88,,,-817373.15,,14245736.0,643100127.6,657345863.6,1876435031.48,,,,,,,,,,
20131231,603019.SH,20141016,20141016,1,1,225000000.0,121314117.96,340646842.99,31144375.46,,552103789.55,,49052820.08,327907395.0,98986251.59,34630153.52,,,404890127.12,,,,,,,,,2130774.95,1469701311.81,,,5590225.15,,,,,721020662.68,33529074.32,,,,,115655784.48,,,3235900.21,9054765.13,,154250047.96,1042336459.93,,,,,,,,,,,,,,,,,2512037771.74,30000000.0,555000000.0,,,,,,535015595.29,222202413.45,,,20595007.8,-2630094.58,,,11604607.31,,,,,,,,60000000.0,200000.0,1401987529.27,,,149317293.0,,25224.01,,202806578.4,382149095.41,,,,,,,,,,,,,,,,,1784136624.68,,,-1876864.33,,11672674.98,716228472.08,727901147.06,2512037771.74,,,,,,,,,,
20140630,603019.SH,20141016,20141016,1,1,225000000.0,121314117.96,364107459.43,31144375.46,,343006127.43,,98906813.32,314723966.9,89863633.13,34211214.53,,,289924454.49,,,,,,,,,1118856.55,1171755066.35,,,5776448.61,,,,,707653669.77,46652977.88,,,,,113040451.73,,,2401066.82,8580363.61,,178568696.47,1062673674.89,,,,,,,,,,,,,,,,,2234428741.24,35000000.0,555000000.0,,,,,40000000.0,386373991.15,50623237.78,,,6643150.7,-13147204.74,,,13196050.87,,,,,,,,55000000.0,250000.0,1093939225.76,,,169643293.0,,21095.28,,183974860.66,388639248.94,,,,,,,,,,,,,,,,,1482578474.7,,,-1472408.57,,11756722.26,740093544.28,751850266.54,2234428741.24,,,,,,,,,,
20140930,603019.SH,20141105,20141105,1,1,225000000.0,121314117.96,370153358.6,31132552.08,,235231867.38,,94663549.67,289825635.3,48872162.22,64402825.11,,,561090165.97,,,,,,,,,1907549.13,1295993754.79,,,5477429.0,,,,,680399974.2,90489237.23,,,,,112026106.46,,,3500005.5,6997196.12,,189943847.24,1088833795.75,,,,,,,,,,,,,,,,,2384827550.54,75000000.0,525000000.0,,,,,50000000.0,462052361.6,97520402.7,,,9149412.21,-33830459.94,,,12648292.63,,,,,,,,55000000.0,250000.0,1177790009.2,,,191224993.0,,21095.28,,182671617.72,448917706.0,,,,,,,,,,,,,,,,,1626707715.2,,,-1367311.03,,11887117.72,746232717.61,758119835.33,2384827550.53,,,,,,,,,,
20141231,603019.SH,20150410,20150410,1,1,300000000.0,394814117.96,451887948.58,35747592.75,,565752814.56,,101243042.85,570663474.64,141066601.48,24321913.85,,,315435799.03,,,,,,,,,7550538.43,1726034184.84,1180000.0,,94134099.51,,,,,751590611.85,13978687.37,,,,,119883898.27,18768478.66,,2818437.85,8239180.04,,184147296.53,1194740690.08,,,,,,,,,,,,,,,,,2920774874.92,55000000.0,422670000.0,,,,,50000000.0,697183793.32,71418498.75,,,43298947.04,18716921.2,,,13839384.71,,,,,,,,15000000.0,250000.0,1332377545.02,,,168316949.49,,10426.25,170620808.1,,393948183.84,,,,,,,,,,,,,,,,,1726325728.86,,,,,13865636.83,1180583509.23,1194449146.06,2920774874.92,,-1866150.06,,,,,,,,
20150331,603019.SH,20150422,20150422,1,1,300000000.0,394814117.96,432538753.14,35747592.75,,248154309.0,,99735490.58,403638759.44,117246751.54,90158717.58,,,475037819.99,,,,,,,,,34430108.99,1468401957.12,1180000.0,,94207111.95,,,,,741722721.16,29278734.7,,,,,118303886.02,32877645.14,,2136870.2,8230934.26,,185941256.59,1213879160.02,,,,,,,,,,,,,,,,,2682281117.14,55000000.0,475000000.0,,,,,50000000.0,461781747.36,111696504.18,,,4131471.73,-3924692.41,,,12985005.11,,,,,,,,15000000.0,450000.0,1127120035.97,,,170486949.49,,10426.25,168139174.39,,393636550.13,,,,,,,,,,,,,,,,,1520756586.1,,,,,13419907.87,1148104623.17,1161524531.04,2682281117.14,,-1575932.81,,,,,,,,
20150630,603019.SH,20150731,20150731,1,1,300000000.0,394814117.96,463934006.52,35747592.75,,310967744.18,,83297135.31,695357281.38,142841511.36,55232793.09,,,536286009.09,,,,,,,,,11816485.13,1835798959.54,21268000.0,,94190101.44,,,,,737594871.24,29575504.54,,,,,117113313.99,63219195.62,,1771409.44,9117410.85,,189741258.53,1263591065.65,,,,,,,,,,,,,,,,,3099390025.19,47500000.0,672700000.0,,,,,50000000.0,648878358.27,53968838.1,,,8353939.66,23780750.03,,,13205285.3,,,,,,,,15000000.0,300000.0,1486187171.36,,,197856949.49,,10426.25,161144114.67,,406511490.41,,,,,,,,,,,,,,,,,1892698661.77,,,,,14098814.17,1192592549.25,1206691363.42,3099390025.19,,-1903167.98,,,,,,,,
20150930,603019.SH,20151028,20151028,1,1,300000000.0,394814117.96,474693069.88,35747592.75,,443701882.09,,32591715.05,789892218.26,137759824.31,52787218.39,,,628682217.15,,,,,,,,,68787441.97,2154202517.22,21268000.0,,102598268.29,,,,,737674947.35,36976837.61,,,,,115607117.23,89000521.49,,2407291.98,11088602.15,,192118020.35,1308739606.45,,,,,,,,,,,,,,,,,3462942123.67,47500000.0,852700000.0,,,,,83000000.0,673943671.15,71491140.06,,,5963990.71,24683753.87,,,74657952.05,,,,,,,,15000000.0,1019339.62,1802459847.46,,,198632449.49,,10426.25,157203627.11,,403346502.85,,,,,,,,,,,,,,,,,2205806350.31,,,,,49866919.7,1207268853.66,1257135773.36,3462942123.67,,2014073.07,,,,,,,,
20151231,603019.SH,20160323,20160323,1,1,300000000.0,394852998.5,599668568.35,40860321.39,,1247603215.05,,83843920.54,1188081794.15,149432143.26,41198478.84,,,558896952.54,,,,,,,,,50173161.94,3319229666.32,21268000.0,,25509984.91,,,,,745568846.8,37135883.97,,,,,135861180.82,120658029.57,224662.04,1978246.06,15316343.06,,198677973.89,1302199151.12,,,,,,,,,,,,,,,,,4621428817.44,40000000.0,1122700000.0,,,,,83000000.0,1205850287.73,114077477.65,,,47413251.33,19416963.44,,,76074736.23,,,,,,,,15000000.0,345000.0,2683877716.38,,,269872449.49,,683856.94,152328427.23,,462884733.66,,,,,,,,,,,,,,,,,3146762450.04,,,,,135093023.87,1339573343.53,1474666367.4,4621428817.44,,4191455.29,,,,,,,,
