end_date,ts_code,ann_date,f_ann_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
19971231,T00018.SH,20000616,20000616,1,1,,,,,,632514424.47,,,,,30437.68,,,17371292.85,1739005.3,,,,,,,,,786730840.51,,,55329411.35,,,,,,,,,,,520796800.0,,,9115413.0,,,,2239422057.22,,,,,,,,,,,,,,,,,3026152897.73,9149823.03,,,,,,,78335359.83,56240044.25,,,184508306.0,9392445.93,,259259719.1,158017797.86,,,,,,,,1600000.0,,747353672.97,,6400000.0,,,,,55518459.52,71068282.55,,,,,,,,,,,,,,,,,818421955.52,,,,,1087600262.78,1120130679.43,2207730942.21,3026152897.73,,,,,,,,,,
19971231,T00018.SH,20000616,20000616,1,1,,,,,,632514424.47,,,,,30437.68,,,17371292.85,1739005.3,,,,,,,,,786730840.51,,,55329411.35,,,,,,,,,,,520796800.0,,,9115413.0,,,,2239422057.22,,,,,,,,,,,,,,,,,3026152897.73,9149823.03,,,,,,,78335359.83,56240044.25,,,184508306.0,9392445.93,,259259719.1,158017797.86,,,,,,,,1600000.0,,747353672.97,,6400000.0,,,,,55518459.52,71068282.55,,,,,,,,,,,,,,,,,818421955.52,,,,,1087600262.78,1120130679.43,2207730942.21,3026152897.73,,,,,,,,,,
19981231,T00018.SH,20000616,20000616,1,1,692200000.0,400761328.77,-6271381.36,25478531.11,,864627916.09,2000000.0,177373.88,,,,11756852.69,,15695635.93,1994075.2,,,,,,,,,1038747618.37,,,-65925048.56,,,,,,,,,,,510074492.24,,,7508785.0,,,,2129754979.96,,,,,,,,,,,,,,,,,3168502598.33,,,,,,,,78112351.59,87345109.04,,,264748933.24,7240065.23,,221793925.88,271912808.66,,,,,,,,1600000.0,,932753193.64,,4800000.0,,,,,,4750000.0,,,,,,,,,,,,,,,,,937503193.64,,,,,1118830926.17,1112168478.52,2230999404.69,3168502598.33,,,,,,,,,,
19981231,T00018.SH,20000616,20000616,1,1,692200000.0,400761328.77,-6271381.36,25478531.11,,864627916.09,2000000.0,177373.88,,,,11756852.69,,15695635.93,1994075.2,,,,,,,,,1038747618.37,,,-65925048.56,,,,,,,,,,,510074492.24,,,7508785.0,,,,2129754979.96,,,,,,,,,,,,,,,,,3168502598.33,,,,,,,,78112351.59,87345109.04,,,264748933.24,7240065.23,,221793925.88,271912808.66,,,,,,,,1600000.0,,932753193.64,,4800000.0,,,,,,4750000.0,,,,,,,,,,,,,,,,,937503193.64,,,,,1118830926.17,1112168478.52,2230999404.69,3168502598.33,,,,,,,,,,
19991231,T00018.SH,20000616,20000616,1,1,692200000.0,400761328.77,10681163.04,177569429.31,,1338786092.79,,,,,89100.0,12593611.3,,14439484.88,1882856.95,,,,,,,,,1560796790.69,,,-61922069.4,,,,,,,,,,,498599687.96,,,8130102.27,,,,2109371687.94,,,,,,,,,,,,,,,,,3670168478.63,,,,,,,,96744160.22,74712271.14,,,314693591.11,46143788.82,,532638790.77,159333766.49,,,,,,,,1600000.0,,1225866368.55,,3200000.0,,,,,,2950000.0,,,,,,,,,,,,,,,,,1228816368.55,,,,,1160140188.96,1281211921.12,2441352110.08,3670168478.63,,,,,,,,,,
19991231,T00018.SH,20000616,20000616,1,1,692200000.0,400761328.77,10681163.04,177569429.31,,1338786092.79,,,,,89100.0,12593611.3,,14439484.88,1882856.95,,,,,,,,,1560796790.69,,,-61922069.4,,,,,,,,,,,498599687.96,,,8130102.27,,,,2109371687.94,,,,,,,,,,,,,,,,,3670168478.63,,,,,,,,96744160.22,74712271.14,,,314693591.11,46143788.82,,532638790.77,159333766.49,,,,,,,,1600000.0,,1225866368.55,,3200000.0,,,,,,2950000.0,,,,,,,,,,,,,,,,,1228816368.55,,,,,1160140188.96,1281211921.12,2441352110.08,3670168478.63,,,,,,,,,,
20000630,T00018.SH,20000822,20000822,1,1,692200000.0,400761328.77,215153317.61,196568506.61,,2801733019.68,,,,,,,,15311542.53,608771.94,,,,,,,,,3017616328.08,,,-55534980.68,,,,,,,,232786.69,,,492868285.82,,,88394.0,,,,2117705125.13,,,,,,,,,,,,,,,,,5135321453.21,,,,,,,,92913661.83,79264986.31,,,353821602.96,50744570.36,,14522072.67,1652766889.01,8161912.05,,,,,,,,,2252195695.19,,3200000.0,,,,,,2920000.0,,,,,,,,,,,,,,,,,2255115695.19,,,,,1375522605.03,1504683152.99,2880205758.02,5135321453.21,,,,,,,,,,
20000630,T00018.SH,20000822,20000822,1,1,692200000.0,400761328.77,215153317.61,196568506.61,,2801733019.68,,,,,,,,15311542.53,608771.94,,,,,,,,,3017616328.08,,,-55534980.68,,,,,,,,232786.69,,,492868285.82,,,88394.0,,,,2117705125.13,,,,,,,,,,,,,,,,,5135321453.21,,,,,,,,92913661.83,79264986.31,,,353821602.96,50744570.36,,14522072.67,1652766889.01,8161912.05,,,,,,,,,2252195695.19,,3200000.0,,,,,,2920000.0,,,,,,,,,,,,,,,,,2255115695.19,,,,,1375522605.03,1504683152.99,2880205758.02,5135321453.21,,,,,,,,,,
20001231,T00018.SH,20010215,20010215,1,1,902200000.0,2660967829.22,77181362.76,298220970.32,,1979465128.06,362241538.44,3324.98,,,593893.95,11563873.98,,15613015.16,4591142.11,,,,,,,,,2744520248.7,,,139742342.27,,,,,,,,,,,490267428.02,,,41512623.81,,,,4299752343.63,,,,,,,,,,,,,,,,,7044272592.33,,231200000.0,,,,,,155813890.46,112506488.67,,,330212748.95,54727851.3,,626018317.08,302314139.26,11705800.66,,,,,,,1600000.0,,1826099236.38,,26694146.4,,,,,,26148758.58,,,,,,,,,,,,,,,,,1852247994.96,,,,,1253454435.07,3938570162.3,5192024597.37,7044272592.33,,,,,,,,,,
20010331,T00018.SH,20010425,20010425,1,1,902200000.0,,,,,,,,,,,,,,,,,,,,,,,2789840800.0,,,,,,,,,,,,,,,,,,,,,4240311200.0,,,,,,,,,,,,,,,,,7211626700.0,,,,,,,,,,,,,,,,,,,,,,,,,,1787441400.0,,,,,,,,23945100.0,,,,,,,,,,,,,,,,,1811386500.0,,,,,1326209200.0,4074031000.0,5400240200.0,7211626700.0,,,,,,,,,,
