ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002476.SZ,20111230,13.0,0.3974,0.3974,,41.1876,32.5581,2.5596,4.5401,4.2021,18000.0,8850.0,8850.0,234000.0,115050.0
002477.SZ,20111230,23.02,1.8912,1.8912,,49.9834,17.0643,3.366,8.9995,5.4714,26700.0,11504.46,11504.46,614634.0,264832.6692
002478.SZ,20111230,11.2,4.384,4.384,,24.4827,21.7752,1.9485,1.5567,1.2711,40010.0,6950.0,6950.0,448112.0,77840.0
002479.SZ,20111230,15.97,0.7483,1.389,,49.4214,39.0347,3.6851,7.5148,6.0483,42800.0,26159.78,14093.8188,683516.0,417771.6866
002480.SZ,20111230,12.4,0.7643,0.8709,,24.3574,16.5845,1.7528,2.4868,1.5323,28000.0,14713.0886,12913.0886,347200.0,182442.2986
002487.SZ,20111230,17.58,0.0817,0.0817,,21.5949,29.1972,1.4559,3.4278,4.2483,12000.0,5861.1,5861.1,210960.0,103038.138
002488.SZ,20111230,8.3,0.8975,0.8975,,24.3809,20.0873,1.6872,2.529,2.0751,18000.0,6570.0,6570.0,149400.0,54531.0
002489.SZ,20111230,18.76,0.6256,0.6256,,18.027,18.0673,1.5008,1.871,1.7588,24000.0,6900.0,6900.0,450240.0,129444.0
002490.SZ,20111230,9.83,1.8888,1.8888,,14.2004,18.8944,1.4203,1.4503,1.4095,39892.42,7262.2,7262.2,392142.4886,71387.426
002491.SZ,20111230,11.63,0.8494,0.8494,,21.7171,19.1728,2.0779,2.326,1.8164,26780.0,9679.0,9679.0,311451.4,112566.77
002492.SZ,20111230,11.86,0.5406,0.5406,,28.4489,25.8426,1.8914,8.2288,8.6457,12000.0,5970.0,5970.0,142320.0,70804.2
002493.SZ,20111230,17.09,0.9189,0.9189,,12.3678,9.2729,2.7161,1.2031,0.8341,111200.0,11200.0,11200.0,1900408.0,191408.0
300187.SZ,20111230,47.49,1.8237,1.8237,,75.9549,89.2885,4.2356,10.9855,9.5518,6678.0,1670.0,1670.0,317138.22,79308.3
300188.SZ,20111230,35.45,1.272,1.272,,46.2066,40.1598,2.9707,10.0884,8.1079,5350.0,1350.0,1350.0,189657.5,47857.5
300189.SZ,20111230,19.08,6.6291,6.6291,,49.5934,49.1732,2.4189,7.728,7.3942,16000.0,4000.0,4000.0,305280.0,76320.0
300190.SZ,20111230,45.4,1.2944,1.2944,,53.3014,50.6268,2.8339,11.4718,10.4597,5300.0,1330.0,1330.0,240620.0,60382.0
300191.SZ,20111230,25.08,1.989,1.989,,33.2377,31.3149,1.9312,18.4201,17.0088,8000.0,2000.0,2000.0,200640.0,50160.0
300192.SZ,20111230,13.82,1.175,1.175,,28.8069,25.9666,1.8334,4.2749,3.5929,7350.0,1850.0,1850.0,101577.0,25567.0
300193.SZ,20111230,13.45,0.4348,0.4348,,30.3959,25.7709,1.6015,5.7209,4.9965,22150.0,5550.0,5550.0,297917.5,74647.5
