ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
000001.SZ,20090910,20.83,20.99,20.55,20.7,20.96,-0.26,-1.24,233547.56,485233.5948
000002.SZ,20090910,11.33,11.51,11.22,11.31,11.37,-0.06,-0.53,1252807.67,1427655.0701
000004.SZ,20090910,8.0,8.36,7.9,8.36,7.96,0.4,5.03,36837.3,30648.3715
000005.SZ,20090910,3.97,4.08,3.93,4.03,3.98,0.05,1.26,264912.97,106726.1112
000006.SZ,20090910,11.12,11.38,11.0,11.11,11.15,-0.04,-0.36,82804.89,92983.1139
000007.SZ,20090910,6.8,7.16,6.65,7.16,6.82,0.34,4.99,65752.84,46364.5875
000008.SZ,20090910,8.33,8.38,8.1,8.19,8.3,-0.11,-1.33,8034.99,6613.2266
000010.SZ,20090910,8.0,8.16,7.9,8.1,8.03,0.07,0.87,16369.71,13180.7963
000012.SZ,20090910,15.75,15.9,15.3,15.42,15.81,-0.39,-2.47,78111.65,121806.206
000014.SZ,20090910,15.5,16.26,15.3,15.89,15.51,0.38,2.45,29884.68,47129.6271
000016.SZ,20090910,4.54,4.54,4.47,4.49,4.55,-0.06,-1.32,87231.39,39290.8393
000018.SZ,20090910,8.66,8.78,8.23,8.34,8.66,-0.32,-3.7,7677.0,6436.674
000019.SZ,20090910,7.53,7.58,7.3,7.33,7.47,-0.14,-1.87,27910.01,20715.2621
000020.SZ,20090910,6.56,6.59,6.3,6.55,6.57,-0.02,-0.3,19982.06,12930.7056
000021.SZ,20090910,11.32,11.9,11.32,11.55,11.49,0.06,0.52,75516.95,88285.5743
000022.SZ,20090910,13.21,13.37,13.1,13.17,13.33,-0.16,-1.2,28971.05,38355.1477
000023.SZ,20090910,8.1,8.3,7.97,8.19,8.09,0.1,1.24,39302.71,32131.7091
000024.SZ,20090910,26.3,27.47,26.0,26.67,26.38,0.29,1.1,128434.76,345245.2618
000025.SZ,20090910,8.58,8.58,8.31,8.39,8.61,-0.22,-2.56,20281.68,17014.2047
000026.SZ,20090910,8.31,8.34,8.09,8.13,8.35,-0.22,-2.63,28897.12,23693.5653
000027.SZ,20090910,11.92,11.93,11.68,11.72,11.91,-0.19,-1.6,69599.18,81990.168
000028.SZ,20090910,24.9,24.9,23.78,24.0,25.02,-1.02,-4.08,28564.29,68887.1634
000029.SZ,20090910,5.25,5.38,5.18,5.25,5.27,-0.02,-0.38,61470.71,32564.7651
000030.SZ,20090910,6.14,6.29,6.06,6.29,6.18,0.11,1.78,21952.08,13551.1194
000031.SZ,20090910,11.36,11.85,11.23,11.44,11.35,0.09,0.79,348004.19,402612.2073
000032.SZ,20090910,6.65,6.69,6.51,6.65,6.67,-0.02,-0.3,25745.22,17039.2194
000033.SZ,20090910,5.73,6.19,5.62,6.1,5.72,0.38,6.64,260285.48,154672.2313
000034.SZ,20090910,6.54,6.67,6.45,6.57,6.55,0.02,0.31,20388.48,13394.1831
000035.SZ,20090910,5.12,5.17,5.05,5.06,5.12,-0.06,-1.17,17371.45,8874.3425
000036.SZ,20090910,5.24,5.28,5.14,5.18,5.24,-0.06,-1.15,119883.29,62348.6443
000037.SZ,20090910,5.68,5.68,5.51,5.55,5.7,-0.15,-2.63,36945.07,20644.0038
000039.SZ,20090910,11.0,11.0,10.68,10.7,10.99,-0.29,-2.64,144463.93,156337.4455
000040.SZ,20090910,6.2,6.22,6.01,6.04,6.18,-0.14,-2.27,53750.07,32871.3741
000042.SZ,20090910,20.1,20.95,20.06,20.25,20.0,0.25,1.25,43515.35,88715.5115
000043.SZ,20090910,17.1,18.85,16.71,18.08,17.14,0.94,5.48,130742.21,239323.993
000045.SZ,20090910,8.72,8.8,8.41,8.42,8.72,-0.3,-3.44,13189.25,11313.9112
000046.SZ,20090910,14.65,15.44,14.5,14.85,14.82,0.03,0.2,255036.13,385070.3202
000048.SZ,20090910,3.81,3.87,3.78,3.83,3.83,0.0,0.0,30994.94,11926.699
000049.SZ,20090910,9.4,9.63,9.11,9.44,9.5,-0.06,-0.63,54435.61,50985.4534
000050.SZ,20090910,4.7,4.76,4.58,4.72,4.71,0.01,0.21,83918.06,39350.87
000055.SZ,20090910,8.21,8.3,8.03,8.06,8.39,-0.33,-3.93,72051.95,58611.9713
000056.SZ,20090910,7.56,7.65,7.48,7.5,7.62,-0.12,-1.57,16517.4,12493.1944
000058.SZ,20090910,4.01,4.06,3.96,4.06,4.03,0.03,0.74,69082.7,27703.6002
000059.SZ,20090910,10.3,10.47,10.15,10.21,10.3,-0.09,-0.87,91618.79,94290.7019
000060.SZ,20090910,26.05,27.64,25.5,26.73,26.54,0.19,0.72,486759.96,1293240.8724
000061.SZ,20090910,11.33,11.45,11.09,11.36,11.34,0.02,0.18,99657.76,112348.7128
000062.SZ,20090910,9.05,9.21,8.85,9.0,9.01,-0.01,-0.11,48632.96,44000.4839
000063.SZ,20090910,36.5,37.02,36.2,36.31,37.0,-0.69,-1.86,28928.12,106054.7576
000065.SZ,20090910,20.01,20.01,19.42,19.53,20.04,-0.51,-2.54,14013.76,27493.5996
000066.SZ,20090910,11.0,11.22,10.71,11.08,10.99,0.09,0.82,111150.72,122087.1469
000070.SZ,20090910,7.05,7.07,6.9,7.0,7.05,-0.05,-0.71,21091.33,14809.6103
000078.SZ,20090910,11.39,11.79,11.2,11.27,11.77,-0.5,-4.25,976296.12,1116429.4172
000088.SZ,20090910,7.67,7.81,7.5,7.54,7.7,-0.16,-2.08,96972.13,74138.6999
000089.SZ,20090910,7.03,7.1,6.97,7.05,7.06,-0.01,-0.14,100963.07,71118.911
000090.SZ,20090910,6.55,6.76,6.51,6.6,6.53,0.07,1.07,95956.55,63844.605
000096.SZ,20090910,6.13,6.19,6.05,6.05,6.18,-0.13,-2.1,32932.96,20136.8355
000099.SZ,20090910,7.07,7.12,7.0,7.03,7.1,-0.07,-0.99,42382.15,29894.1252
000100.SZ,20090910,3.52,3.53,3.48,3.49,3.53,-0.04,-1.13,231713.14,81106.7041
000150.SZ,20090910,7.0,7.18,6.96,7.0,7.09,-0.09,-1.27,78500.25,55654.0287
000151.SZ,20090910,7.33,7.39,7.15,7.25,7.38,-0.13,-1.76,28358.37,20628.0866
000153.SZ,20090910,5.85,5.88,5.71,5.75,5.87,-0.12,-2.04,28671.26,16600.8378
000155.SZ,20090910,7.87,7.98,7.77,7.86,7.88,-0.02,-0.25,51453.23,40523.6392
000157.SZ,20090910,24.85,25.77,24.54,24.7,25.22,-0.52,-2.06,212444.25,533967.7282
000158.SZ,20090910,6.0,6.23,5.99,6.05,5.97,0.08,1.34,235098.89,143931.5721
000159.SZ,20090910,14.45,14.49,14.11,14.15,14.53,-0.38,-2.62,50160.84,71749.5612
000301.SZ,20090910,5.88,5.95,5.81,5.85,5.91,-0.06,-1.02,93721.59,55026.4195
000338.SZ,20090910,49.4,49.85,47.6,47.86,49.4,-1.54,-3.12,49703.29,241647.1992
000400.SZ,20090910,22.94,24.0,22.65,22.76,22.96,-0.2,-0.87,117349.72,275356.8899
000401.SZ,20090910,14.95,15.45,14.61,15.11,14.81,0.3,2.03,102900.71,156766.0593
000402.SZ,20090910,11.96,12.34,11.9,12.05,12.01,0.04,0.33,414646.7,504236.5876
000404.SZ,20090910,6.02,6.08,5.91,6.07,6.02,0.05,0.83,78113.62,46923.491
000407.SZ,20090910,7.89,8.05,7.78,7.91,7.93,-0.02,-0.25,108779.84,86219.6845
000408.SZ,20090910,8.9,9.09,8.82,9.03,8.88,0.15,1.69,42984.08,38458.3487
000409.SZ,20090910,5.68,5.75,5.55,5.55,5.7,-0.15,-2.63,25093.36,14071.3985
000410.SZ,20090910,8.01,8.11,7.81,7.9,8.1,-0.2,-2.47,51550.57,41003.7727
000411.SZ,20090910,6.5,6.57,6.26,6.36,6.62,-0.26,-3.93,42987.18,27487.7172
000413.SZ,20090910,8.41,8.5,8.3,8.39,8.55,-0.16,-1.87,29113.99,24517.4358
000415.SZ,20090910,6.69,6.87,6.62,6.8,6.69,0.11,1.64,84736.87,57434.4431
000416.SZ,20090910,7.9,7.97,7.67,7.7,7.96,-0.26,-3.27,57666.57,44829.2559
