,000932.SZ,600215.SH,600219.SH,600227.SH,600231.SH,600269.SH,600308.SH,600569.SH,600782.SH,600963.SH,portfolio_return
20140102,0.0103,0.02,-0.0154,0.0073,0.0,-0.0068000000000000005,0.0,-0.0058,-0.0032,0.0031,0.0009500000000000002
20140103,-0.0102,-0.0147,-0.015600000000000001,-0.0181,-0.0155,-0.0103,-0.0141,-0.0116,-0.016200000000000003,-0.0123,-0.01386
20140106,-0.0361,-0.0298,-0.037599999999999995,-0.0332,-0.040999999999999995,-0.0174,-0.0323,-0.0176,-0.0296,-0.0594,-0.0334
20140107,-0.0053,0.0051,0.0021,0.0,0.009899999999999999,0.0034999999999999996,0.0037,0.006,0.0034000000000000002,0.0033,0.00317
20140108,-0.0161,-0.0051,-0.0062,0.0038,-0.0098,-0.0034999999999999996,0.0,-0.0179,-0.0203,0.0132,-0.00619
20140109,-0.0273,-0.0128,-0.0103,-0.019,-0.0296,-0.0070999999999999995,-0.0148,-0.0182,-0.0207,-0.0196,-0.01794
20140110,-0.0225,-0.013000000000000001,-0.0021,-0.0194,-0.013600000000000001,-0.010700000000000001,-0.011200000000000002,0.0,-0.021099999999999997,-0.0033,-0.011689999999999999
20140113,-0.005699999999999999,-0.0052,0.023,0.0,0.0034000000000000002,0.0036,0.0076,-0.0123,-0.0036,0.0,0.0010799999999999998
20140114,0.0231,0.0475,-0.002,0.023700000000000002,0.0137,0.0036,0.0113,0.0063,0.0072,0.0268,0.016120000000000002
20140115,-0.0113,-0.0126,0.0,0.0,-0.0034000000000000002,0.0,0.0,-0.0062,-0.0072,0.013000000000000001,-0.0027699999999999995
20140116,0.0,0.0077,0.008199999999999999,-0.0077,-0.0034000000000000002,0.0036,0.0,0.0,0.0072,0.0096,0.0025199999999999997
20140117,-0.0171,0.0,-0.014199999999999999,-0.011699999999999999,-0.0068000000000000005,-0.0143,-0.0149,-0.0063,-0.0358,-0.0159,-0.013699999999999999
20140120,-0.0116,-0.0025,0.0040999999999999995,0.0,-0.0068000000000000005,-0.0072,-0.0038,-0.0126,-0.0074,-0.0032,-0.005100000000000001
20140121,0.0118,0.0,0.020499999999999997,0.0118,0.0034000000000000002,0.0037,0.0227,0.0191,0.015,0.006500000000000001,0.011450000000000002
20140122,0.0233,0.0127,0.022099999999999998,0.015600000000000001,0.0275,0.0218,0.0222,0.018799999999999997,0.018500000000000003,0.0226,0.02051
20140123,-0.017,-0.0025,-0.0079,0.0,0.0033,-0.0036,-0.0036,-0.0060999999999999995,-0.0036,0.0095,-0.00315
20140124,0.0058,0.0151,0.0,0.0115,0.0,0.0070999999999999995,0.0073,0.0062,0.0291,0.0063,0.00884
20140127,0.0,-0.0025,-0.0159,-0.0076,-0.013300000000000001,-0.0070999999999999995,-0.0108,0.0184,-0.0212,-0.0124,-0.00724
20140128,0.005699999999999999,-0.0149,0.006,-0.0038,0.0034000000000000002,0.0,0.0037,0.006,0.0108,-0.009399999999999999,0.0007500000000000003
20140129,0.005699999999999999,-0.0025,0.002,0.0,0.0101,0.010700000000000001,0.0073,0.0,0.0036,0.0222,0.00591
20140130,0.011399999999999999,-0.0076,-0.012,-0.023,-0.0067,-0.0034999999999999996,0.0036,0.006,0.0285,-0.009300000000000001,-0.001260000000000001
