,000761.SZ,000932.SZ,600215.SH,600227.SH,600231.SH,600269.SH,600308.SH,600569.SH,600782.SH,600963.SH,portfolio_return
20140207,0.0072,0.0281,0.0025,0.0078000000000000005,0.0,0.0,0.0036,0.011899999999999999,-0.0104,0.0031,0.00538
20140210,0.0216,0.0055000000000000005,0.0178,0.0311,0.020099999999999996,0.014199999999999999,0.0215,0.0235,0.021,0.0219,0.01982
20140211,0.0,-0.0109,0.0125,0.0,0.009899999999999999,0.0,0.0034999999999999996,0.0,0.0308,0.0092,0.0055000000000000005
20140212,0.006999999999999999,-0.0055000000000000005,0.0222,0.0113,0.013000000000000001,0.0034999999999999996,0.0105,0.0,0.0897,0.0394,0.019110000000000002
20140213,-0.0175,0.0,-0.0072,-0.0075,-0.0161,-0.0105,-0.0138,-0.0115,0,-0.0204,-0.010450000000000001
20140214,0.0070999999999999995,0.0055000000000000005,0.024300000000000002,0.015,0.0098,0.0106,0.0175,0.0,0,0.0149,0.01047
20140217,0.0141,0.0055000000000000005,-0.0070999999999999995,0.0074,0.0129,0.0105,0.0034000000000000002,0.0058,0,0.0176,0.0070100000000000015
20140218,0.0941,-0.016399999999999998,-0.0143,-0.0147,-0.016,-0.0069,-0.0069,-0.0116,0,-0.0115,-0.0004199999999999985
20140219,-0.0382,0.005600000000000001,0.0048,0.011200000000000002,0.0097,0.0069,0.0,0.0058,0,0.0058,0.0011600000000000002
20140220,-0.0364,0.0055000000000000005,-0.0096,0.0332,-0.0032,0.0034000000000000002,-0.0138,0.0058,0,-0.0174,-0.0032500000000000003
20140221,-0.0241,-0.0165,-0.0146,-0.0286,-0.0097,-0.0069,-0.0105,-0.0058,0,-0.0118,-0.01285
20140224,-0.0282,-0.0279,-0.0296,-0.011000000000000001,-0.0195,-0.0138,-0.0177,-0.0233,0,-0.0269,-0.019790000000000002
20140225,-0.0217,-0.023,-0.0254,-0.0297,-0.0233,-0.0175,-0.028900000000000002,-0.0179,0,-0.0368,-0.022420000000000002
20140226,0.0074,0.0059,0.0287,0.0192,0.0034000000000000002,0.0036,0.0037,-0.0121,0,0.0064,0.00662
20140227,0.0074,0.0,-0.0203,-0.015,0.0169,-0.010700000000000001,-0.0148,0.0123,0,-0.0095,-0.003370000000000001
20140228,0.0219,0.011699999999999999,0.0104,0.0,0.0033,0.0072,0.0113,0.0060999999999999995,0,0.0,0.007189999999999999
