,000422.SZ,000488.SZ,000608.SZ,000926.SZ,000932.SZ,600231.SH,600269.SH,600308.SH,600508.SH,600782.SH,portfolio_return
20141201,-0.0106,0.0076,-0.002,-0.016200000000000003,0.017,0.018000000000000002,0.1005,0.0443,0.023399999999999997,0.0317,0.021370000000000004
20141202,0.0229,0.0207,0.0,0.0176,0.0067,0.0265,0.0109,0.0236,0.0124,-0.002,0.013930000000000001
20141203,0.0194,0.0055000000000000005,0.0101,0.0302,0.059800000000000006,0.006500000000000001,-0.0022,0.0207,0.018799999999999997,0.0287,0.019750000000000004
20141204,0.0161,0.0147,0.01,0.0304,0.015700000000000002,0.0064,0.0431,0.009000000000000001,0.0674,0.016,0.022880000000000008
20141205,-0.036000000000000004,-0.030699999999999998,-0.047599999999999996,-0.037599999999999995,-0.0556,-0.0276,-0.041299999999999996,-0.047,-0.0519,-0.06480000000000001,-0.04401000000000001
20141208,0.013500000000000002,0.022400000000000003,0.0146,0.0391,0.0359,0.024,0.0668,0.0305,0.01,0.0462,0.0303
20141209,-0.0147,0.0128,-0.039,-0.0315,-0.0252,0.0,-0.0384,-0.0068000000000000005,-0.056900000000000006,-0.0161,-0.021580000000000002
20141210,0.031400000000000004,0.0414,0.021400000000000002,0.0325,0.0356,0.0405,0.0441,0.0252,0.0268,0.0633,0.036219999999999995
20141211,0.014499999999999999,0.0692,0.0146,0.0060999999999999995,0.1,0.0697,0.0342,0.047,-0.0019,0.0998,0.04532
20141212,0.037200000000000004,-0.0178,0.008199999999999999,0.003,-0.017,-0.0383,0.0253,0.0,0.0131,0.031400000000000004,0.00451
20141215,0.0083,0.0115,0.016399999999999998,-0.006999999999999999,0.0087,-0.004,-0.0095,0.0235,-0.0083,-0.0355,0.00041
20141216,0.016399999999999998,0.0016,0.0101,0.002,0.0287,0.008,-0.0019,-0.0021,0.0344,0.0246,0.01218
20141217,0.0202,-0.021099999999999997,-0.008,0.0202,0.0446,-0.002,-0.0096,-0.018799999999999997,-0.0171,0.036000000000000004,0.004440000000000001
20141218,-0.030299999999999997,-0.01,-0.0281,-0.0139,0.029300000000000003,0.006,-0.0174,-0.0043,-0.0027,0.0479,-0.002349999999999998
20141219,-0.0054,0.0436,0.0040999999999999995,-0.0151,0.10099999999999999,0.0375,0.0316,0.010700000000000001,0.026600000000000002,0.09939999999999999,0.0334
20141222,-0.0096,0.0434,-0.0165,0.0040999999999999995,0.0070999999999999995,0,0.024900000000000002,0.0233,0.04019999999999999,-0.0832,0.003370000000000001
20141223,-0.042800000000000005,-0.0462,-0.018799999999999997,-0.012199999999999999,-0.0958,0,-0.0504,-0.0435,-0.06269999999999999,-0.1002,-0.047259999999999996
20141224,0.0404,-0.006500000000000001,0.0192,-0.0216,-0.054299999999999994,0,-0.0393,0.0043,-0.011000000000000001,-0.0017000000000000001,-0.007050000000000001
20141225,0.0499,0,0.0084,0.02,0.0601,0,0.0225,0.023700000000000002,0.0278,0.0993,0.03117
20141226,0.0132,0,0.014499999999999999,0.0206,0.018000000000000002,0,0.026000000000000002,0.0168,0.0207,0.019,0.014879999999999999
20141229,-0.0183,0,0.0143,0.0253,-0.0025,0,0.0039000000000000003,-0.0062,-0.013300000000000001,0.027999999999999997,0.00312
20141230,0.0239,0.0,-0.008100000000000001,-0.0217,0.0025,0,-0.035,-0.0417,-0.0143,-0.0151,-0.010950000000000001
20141231,-0.0285,0.0033,0.0285,0.08470000000000001,-0.0076,0,0.0161,-0.0022,0.0227,-0.0338,0.008320000000000003
