,000422.SZ,000488.SZ,000608.SZ,000698.SZ,000926.SZ,002386.SZ,600269.SH,600308.SH,600356.SH,600508.SH,portfolio_return
20150401,0.0108,0.006999999999999999,0.006500000000000001,0.020499999999999997,0.011699999999999999,0.013300000000000001,0.016399999999999998,0.0055000000000000005,0.011899999999999999,0.0158,0.011940000000000001
20150402,0.0155,0.0414,0.0049,0.1003,0.0,0.0026,0.009000000000000001,0.0073,0.0128,0.0147,0.02085
20150403,0.0059,0.0106,0.0064,0.0547,0.0008,0.0462,0.014199999999999999,0.018000000000000002,0.048499999999999995,0.0258,0.02311
20150407,0.0233,0.0604,0.024,0.0,0.0339,0.011699999999999999,0.061399999999999996,0.0212,0.0425,0.0181,0.02965
20150408,-0.0102,0.027200000000000002,-0.0031,-0.0074,0,-0.0206,-0.0116,-0.0208,0.008,-0.0216,-0.006010000000000001
20150409,-0.0322,-0.015700000000000002,-0.0219,0.09949999999999999,0,-0.0336,-0.0067,-0.0248,-0.0317,-0.0126,-0.007970000000000001
20150410,0.0392,0.025699999999999997,0.0449,-0.0158,0,0.0739,0.0118,0.028999999999999998,0.0745,0.0336,0.03168000000000001
20150413,0.0354,0.08109999999999999,0.030699999999999998,-0.008,0,0.0364,0.09820000000000001,0.0582,0.023700000000000002,0.0248,0.03805
20150414,0.0011,0.0298,-0.0089,-0.0406,0,-0.0172,0.0212,0.005,-0.0116,-0.0219,-0.0043100000000000005
20150415,-0.0529,-0.0536,-0.04650000000000001,-0.0713,0.0288,-0.041299999999999996,0.0282,-0.0415,-0.054299999999999994,-0.029300000000000003,-0.033370000000000004
20150416,0.008100000000000001,-0.0011,0.009399999999999999,0.0,0.0078000000000000005,0.029900000000000003,-0.018799999999999997,0.015600000000000001,-0.0018,0.0191,0.006820000000000001
20150417,0.0104,0.0091,0.0016,0.0052,0.0123,-0.0121,0.0029,0.013600000000000001,-0.0106,0.032,0.006440000000000001
20150420,0.0023,-0.057300000000000004,0.013999999999999999,-0.0039000000000000003,-0.0304,-0.0359,-0.041100000000000005,-0.0235,-0.0385,-0.0174,-0.023170000000000003
20150421,0.0319,0.023799999999999998,0.030699999999999998,0.0286,0.0212,0.0347,0.0245,0.043,0.0242,0.0323,0.029490000000000002
20150422,0.0166,0.0489,0.052199999999999996,0.0253,0.0231,0.018799999999999997,0.034300000000000004,0.0446,0.0354,0.040999999999999995,0.03402
20150423,0.0152,0.01,0.009899999999999999,-0.0062,-0.0128,0.0016,0.0375,0.0095,0.0263,0.0143,0.010530000000000001
20150424,-0.0171,-0.033,-0.021,-0.0074,-0.0167,0.013600000000000001,-0.0278,-0.0125,-0.0154,-0.0177,-0.0155
20150427,0.006500000000000001,-0.0102,-0.0014000000000000002,0.031200000000000002,0.0116,0.0,0.0129,0.0048,0.0034999999999999996,0.0575,0.011640000000000001
20150428,-0.0325,0.0023,-0.051699999999999996,-0.0593,-0.014499999999999999,-0.0434,-0.0184,-0.0379,-0.0311,-0.0374,-0.03239
20150429,0.015700000000000002,0.0183,0.0212,0.0116,0.0016,0.028900000000000002,0.0144,0.0311,0.0259,0.0021,0.017079999999999998
20150430,-0.0209,0.0315,-0.0089,0.0025,0.0147,-0.0177,-0.0199,-0.0095,-0.012199999999999999,-0.0197,-0.006010000000000001
