,000422.SZ,000488.SZ,000608.SZ,000635.SZ,000755.SZ,000926.SZ,002386.SZ,600269.SH,600308.SH,600508.SH,portfolio_return
20150504,0.0191,0.0774,0.0179,-0.0060999999999999995,0.0508,0.036699999999999997,-0.0016,0.0014000000000000002,0.053,0.0043,0.025290000000000007
20150505,-0.044199999999999996,0.0263,-0.0558,-0.049400000000000006,0.05,-0.049400000000000006,-0.020499999999999997,0.0029,-0.0518,-0.0558,-0.024770000000000004
20150506,-0.018500000000000003,-0.026600000000000002,-0.0513,-0.0152,0,-0.0364,-0.015,-0.0274,-0.04019999999999999,-0.0417,-0.027230000000000004
20150507,-0.0176,-0.0040999999999999995,-0.023,-0.0015,0.0998,-0.037000000000000005,-0.0373,-0.08,-0.0653,-0.038,-0.0204
20150508,0.0252,0.0173,0.04190000000000001,0.0352,0.10060000000000001,0.030899999999999997,0.024700000000000003,0.038599999999999995,0.0341,0.0337,0.038220000000000004
20150511,0.023399999999999997,0.07400000000000001,0.0451,0.0354,0.1003,0.0276,0.061900000000000004,0.0434,0.0364,0.024700000000000003,0.047220000000000005
20150512,0.0034000000000000002,-0.0009,0.0308,0.058899999999999994,0.0381,0.0252,0.0121,0.0223,0.005,0.0202,0.02151
20150513,0.0068000000000000005,-0.0475,0.012,0.014199999999999999,0.0089,0.0,0.0088,0.0102,-0.0017000000000000001,-0.0152,-0.00035
20150514,-0.0068000000000000005,-0.0166,0.0281,-0.013999999999999999,0.0088,-0.0046,0.0143,-0.0144,-0.0033,0.0062,-0.00022999999999999974
20150515,-0.030699999999999998,0.001,-0.020099999999999996,-0.011000000000000001,-0.0426,-0.0325,-0.026600000000000002,-0.035,-0.0268,-0.0338,-0.02581
20150518,0.0034999999999999996,0.0089,0.029300000000000003,0.0046,-0.0296,-0.0096,0.0602,-0.0182,0.0052,0.0024,0.0056700000000000006
20150519,0.058499999999999996,0.0079,0.0085,0.0143,0.0223,0.0363,0.0364,0.037000000000000005,0.0564,0.0341,0.03117
20150520,-0.0011,-0.002,0.0212,0.0070999999999999995,0.0218,0.004699999999999999,0.0029,-0.0059,-0.008100000000000001,-0.0015,0.003909999999999999
20150521,0.0166,0.0069,0.0373,0.0178,0.0124,0.0256,0.0226,0.0105,0.0277,0.02,0.01974
20150522,0.052199999999999996,0.0263,0.0973,0.02,0.1,0.07400000000000001,0.021400000000000002,0.0385,0.0635,0.06849999999999999,0.05617
20150525,0.0331,0.0483,0,0.038,0.0788,0.0443,0.023,0.09970000000000001,0.06269999999999999,0.0106,0.04385
20150526,0.004,0.0217,0,0.0154,0.0674,0.0088,0.0116,0.037599999999999995,0.0084,0.015300000000000001,0.019020000000000002
20150527,0.0369,0.025699999999999997,0,-0.0058,0.036000000000000004,0.0641,-0.0101,-0.0087,-0.0014000000000000002,0.04190000000000001,0.017859999999999997
20150528,-0.0894,-0.0725,0,-0.0779,-0.0999,-0.0866,-0.0872,-0.0365,-0.0432,-0.0837,-0.06769000000000001
20150529,0.0032,0.0028000000000000004,0,-0.0159,-0.0329,0.068,0.0209,0.0301,0.011699999999999999,-0.012199999999999999,0.00757
