,000422.SZ,000635.SZ,002386.SZ,600123.SH,600231.SH,600308.SH,600449.SH,600508.SH,600971.SH,600997.SH,portfolio_return
20150601,0.0611,0.0548,0.1001,0.09970000000000001,0.0662,0.08070000000000001,0.0675,0.0998,0.1005,0.1002,0.08306000000000001
20150602,0.0516,0.061799999999999994,0.009300000000000001,0.0092,0.0705,0.1,0.0148,0.0192,0.0,0.019799999999999998,0.03562
20150603,0.017,0.07139999999999999,0.051399999999999994,-0.016,0.022400000000000003,0.0424,0.0199,-0.013600000000000001,0.0075,-0.0129,0.01895
20150604,0.044500000000000005,-0.0382,-0.0232,0.0998,0.0348,-0.022099999999999998,-0.0052,0.1001,0.0776,0.07629999999999999,0.03444
20150605,0.0231,0.04019999999999999,0.0154,0.0134,0.0623,0.0155,0.0417,0.0174,-0.0078000000000000005,0.012199999999999999,0.02334
20150608,0.0095,-0.0199,-0.0141,0.0069,-0.0387,-0.021099999999999997,-0.0063,0.0235,-0.0009,0.01,-0.00511
20150609,-0.0163,0.0121,0.0762,0.0166,-0.0073,0.1005,-0.018500000000000003,0.0351,0.0227,0.0327,0.02538
20150610,0.0009,0.0043,0.0075,-0.0278,0.016,0.0478,0.1003,-0.0322,-0.0197,-0.0259,0.007120000000000001
20150611,0.0297,0.0464,0.0025,-0.006999999999999999,0.0,0.0436,0.0024,-0.0138,-0.0079,-0.009899999999999999,0.0086
20150612,0.058499999999999996,0.0521,0.0223,0.0141,0.0496,0.049699999999999994,0.0053,0.0116,0.0273,0.0179,0.030840000000000003
20150615,-0.012,-0.0231,0.004,-0.024900000000000002,0.0426,0.011399999999999999,0.0040999999999999995,0.0046,0.0,0.002,0.0008699999999999997
20150616,-0.0576,-0.057699999999999994,-0.0362,-0.050499999999999996,-0.07730000000000001,-0.0637,-0.0643,-0.0676,-0.0265,-0.024399999999999998,-0.052579999999999995
20150617,0.0241,0.0256,0.0075,0.0337,0.0347,0.006,0.0825,0.052199999999999996,0.023700000000000002,0.006999999999999999,0.0297
20150618,-0.0076,-0.0286,-0.0323,-0.028999999999999998,-0.0336,-0.0547,-0.037000000000000005,-0.0455,-0.0421,-0.0397,-0.035010000000000006
20150619,-0.0999,-0.1,-0.1001,-0.0828,-0.08380000000000001,-0.1001,-0.1001,-0.08380000000000001,-0.09960000000000001,-0.1003,-0.09505
20150623,0.0,0.0024,-0.02,0.0366,0.1007,-0.023399999999999997,0.0286,0.0387,0.011000000000000001,0.044800000000000006,0.02194
20150624,0.036699999999999997,0.0344,0.0175,0.0408,0.0665,0.0348,0.0304,0.06559999999999999,0.0463,0.039599999999999996,0.04126
20150625,-0.051699999999999996,-0.0338,-0.0458,-0.044500000000000005,0.0334,-0.0603,-0.0698,-0.0537,-0.0471,-0.049699999999999994,-0.042300000000000004
20150626,-0.09949999999999999,-0.1002,-0.0999,-0.1003,-0.1002,-0.0999,-0.1,-0.08539999999999999,-0.0998,-0.0926,-0.09778
20150629,-0.0755,-0.0989,-0.0999,-0.0351,-0.0048,-0.0877,-0.0968,0.0286,-0.045,0.0012,-0.051390000000000005
20150630,0.060899999999999996,0.0739,0.0481,0.0701,-0.0108,0.10060000000000001,0.0732,0.06570000000000001,0.051699999999999996,0.059000000000000004,0.05924000000000001
