,000422.SZ,000635.SZ,000809.SZ,002386.SZ,600123.SH,600308.SH,600449.SH,600508.SH,600782.SH,600971.SH,portfolio_return
20150803,0.011699999999999999,-0.0672,-0.0416,-0.0571,0.0236,-0.031200000000000002,0.0173,0.015,-0.0037,0.0385,-0.009470000000000001
20150804,0.051399999999999994,0.0857,0.0705,0.0812,0.0559,0.0698,0.0682,0.0452,0.0513,0.0682,0.06474
20150805,-0.0183,-0.0108,-0.0152,-0.0191,-0.0253,-0.023399999999999997,0.0229,-0.0263,-0.0279,-0.025,-0.01684
20150806,0.005,0.0027,-0.0167,0.012,0.0083,-0.0171,-0.022400000000000003,0.001,-0.0179,0.021400000000000002,-0.00237
20150807,0.0173,0.0425,0.0327,0.0282,0.021099999999999997,0.0348,0.0319,0.0212,0.10039999999999999,0.0139,0.03440000000000001
20150810,0.0341,0.0711,0.054400000000000004,0.0519,0.045899999999999996,0.069,0.07629999999999999,0.1002,0.0647,0.0358,0.06034
20150811,-0.0012,0.0194,0.0108,0.011000000000000001,-0.0066,0.014199999999999999,0.0126,0.0215,-0.013999999999999999,-0.013300000000000001,0.00544
20150812,-0.028300000000000002,0.0183,-0.023799999999999998,-0.024399999999999998,-0.0055000000000000005,-0.0342,0.051399999999999994,0.032,0.03,-0.0027,0.0012800000000000008
20150813,0.024300000000000002,0.015600000000000001,0.032799999999999996,0.0278,0.0144,0.0273,0.009300000000000001,0.011399999999999999,0.015300000000000001,0.0148,0.0193
20150814,0.0095,0.0084,0.0141,0.0271,0.0022,0.0172,0.0852,-0.0097,-0.003,-0.0106,0.014040000000000004
20150817,0.0329,0.0655,0.0999,0.0382,0.0229,0.0369,0.1001,0.0724,0.0545,0.0161,0.05394
20150818,-0.0955,-0.1001,-0.1003,-0.1003,-0.1003,-0.09939999999999999,-0.09939999999999999,-0.1002,-0.10060000000000001,-0.0926,-0.09887000000000001
20150819,0.0716,0.031,0.0458,0.0127,0.024900000000000002,0.0478,0.1002,0.0126,0.0335,0.0335,0.04136
20150820,-0.042199999999999994,-0.057800000000000004,-0.06849999999999999,-0.025099999999999997,-0.015,-0.0236,0.040999999999999995,-0.0466,-0.017,-0.0155,-0.027030000000000005
20150821,-0.056299999999999996,-0.07200000000000001,-0.059000000000000004,-0.04,-0.051699999999999996,-0.066,-0.09970000000000001,-0.0594,-0.0818,-0.0602,-0.06461
20150824,-0.0999,-0.09960000000000001,-0.0999,-0.09970000000000001,-0.10039999999999999,-0.1,-0.1002,-0.1003,-0.0993,-0.10060000000000001,-0.09999000000000001
20150825,-0.09939999999999999,-0.0998,-0.09960000000000001,-0.0992,-0.10060000000000001,-0.09960000000000001,-0.09970000000000001,-0.1001,-0.1008,-0.1,-0.09988000000000001
20150826,0.011200000000000002,0.025,-0.0079,-0.0128,0.0046,0.0,-0.09949999999999999,0.0218,-0.0444,0.0395,-0.00625
20150827,0.0554,0.0827,0.0478,0.0669,0.0579,0.0489,0.06509999999999999,0.046,0.09960000000000001,0.0471,0.06174000000000001
20150828,0.06,0.06860000000000001,0.079,0.07139999999999999,0.06480000000000001,0.073,0.096,0.0687,0.0584,0.0484,0.06883
20150831,-0.0368,-0.06509999999999999,-0.0521,-0.048799999999999996,-0.0311,-0.0529,-0.0611,-0.0311,-0.0684,-0.0495,-0.04969
